corridor,net_link_id,lanes,miles,C_vphpl,C_veh_per_h,D_veh_per_lane,D_veh_total,D_over_C_h,V_veh_total,free_speed_mph,cutoff_mph,congested,P_h,t0_clock,T2_clock,t3_clock,vT2_mph,recovery_over_onset,speed_mae_episode_mph,speed_rmse_episode_mph,note
I-66 EB,26747,2,0.189147,2200.0,4400.0,549.82928042021,1099.65856084042,0.24992240019100456,17129.909756345463,57.72388888888889,40.40672222222222,False,0.0,,,,,,,,
I-66 EB,26753,3,0.221555,2200.0,6600.0,5950.810116421433,17852.4303492643,2.7049136892824697,17852.4303492643,64.2041111111111,44.94287777777777,True,5.60228737,13:57,17:30,19:33,13.13155555555555,0.5841701525698495,2.2289922265101185,3.693458948236122,"episode runs past the PM window, as most do"
I-66 EB,31353,2,0.499725,2200.0,4400.0,1097.5481356643409,2195.0962713286817,0.49888551621106403,17512.388858255625,65.74294444444445,46.02006111111111,False,0.0,,,,,,,,
I-66 EB,31357,4,0.076959,2200.0,8800.0,1645.875194226442,6583.500776905768,0.7481250882847464,35127.18733077887,66.06477777777778,46.24534444444444,False,0.0,,,,,,,,
I-66 EB,31384,2,0.771709,2200.0,4400.0,549.234259281772,1098.468518563544,0.2496519360371691,15785.16478634893,66.72288888888889,46.70602222222222,False,0.0,,,,,,,,
I-66 EB,31781,4,1.428297,2200.0,8800.0,0.0,0.0,0.0,34452.05905582344,64.69166666666666,45.284166666666664,False,0.0,,,,,,,,
I-66 EB,31790,4,1.064303,2200.0,8800.0,4390.216013200339,17560.864052801357,1.9955527332728815,35107.06196398358,67.07655555555556,46.95358888888889,False,0.0,,,,,,,,
I-66 EB,31795,4,0.994511,2200.0,8800.0,4931.51019942271,19726.04079769084,2.241595545192141,35003.12254221639,67.47683333333335,47.23378333333334,False,0.0,,,,,,,,
I-66 EB,31800,4,1.044581,2200.0,8800.0,8327.043038601578,33308.17215440631,3.7850195630007173,33308.17215440631,65.69022222222222,45.98315555555555,False,0.0,,,,,,,,
I-66 EB,31804,4,0.885011,2200.0,8800.0,8452.741334279293,33810.96533711717,3.8421551519451334,33810.96533711717,67.72333333333333,47.40633333333333,True,4.8410008130555555,14:06,15:00,18:56,30.296222222222223,4.425322312829369,4.870070360412143,5.999917298426822,"episode runs past the PM window, as most do"
I-66 EB,31829,4,0.453427,2200.0,8800.0,0.0,0.0,0.0,29272.26440726,63.261,44.2827,False,0.0,,,,,,,,
I-66 EB,31833,3,0.45031,2200.0,6600.0,0.0,0.0,0.0,20900.278777280426,65.56233333333333,45.89363333333333,False,0.0,,,,,,,,
I-66 EB,32561,2,0.146205,2200.0,4400.0,4480.598703205911,8961.197406411822,2.036635774184505,16479.65802756796,67.24633333333334,47.072433333333336,True,2.5323817208333335,16:03,17:00,18:35,25.346888888888884,1.6816732096822944,0.6673830805190842,0.9021814653584019,
