corridor,net_link_id,tmcs,miles,lanes,C_vphpl,C_veh_per_h,free_speed_mph,cutoff_mph,congested,P_h,t0_min,T2_min,t3_min,vT2_mph,onset_to_T2_h,T2_to_recovery_h,recovery_over_onset,episode_starts_before_noon,episode_longer_than_the_pm_window,D_veh_per_lane,D_veh_total,V_veh_per_lane,V_veh_total,D_over_C_h,V_over_C_h,speed_mae_period_mph,speed_rmse_period_mph,speed_mae_episode_mph,speed_rmse_episode_mph,episode_bins_in_pm,P_h_config_vf,D_veh_per_lane_config_vf,D_over_C_h_config_vf,congested_tmcs_config_vf,cbi_free_speed_mph,cbi_cutoff_mph,cbi_capacity_vphpl,t0_clock,T2_clock,t3_clock,note
I-66 EB,26736,1,0.313435,3,2200.0,6600.0,66.40311111111112,46.48217777777778,True,4.596574149166667,874.8960745,1005.0,1150.69052345,13.001777777777777,2.1683987583333333,2.4281753908333332,1.1198011350549142,False,True,6644.754992684346,19934.264978053037,6644.754992684346,19934.264978053037,3.0203431784928845,3.0203431784928845,2.8555972446922295,3.3566421267052102,2.8555972446922295,3.3566421267052102,16,4.0,6494.234164334999,2.951924620152272,1,,,,14:34,16:45,19:10,"episode runs past the PM window, as most do"
I-66 EB,26747,1,0.189147,2,2200.0,4400.0,57.72388888888889,40.40672222222222,False,0.0,,,,,,,,False,False,549.82928042021,1099.65856084042,8564.954878172732,17129.909756345463,0.24992240019100456,3.8931613082603325,11.471736111111108,11.740202102494118,,,0,3.5,7646.201147442645,3.4755459761102934,1,58.91,41.2,2000.0,,,,
I-66 EB,26753,1,0.221555,3,2200.0,6600.0,64.2041111111111,44.94287777777777,True,5.60228737,837.8149379,1050.0,1173.9521801,13.13155555555555,3.5364177016666667,2.0658696683333333,0.5841701525698495,False,True,5950.810116421433,17852.4303492643,5950.810116421433,17852.4303492643,2.7049136892824697,2.7049136892824697,2.2289922265101185,3.693458948236122,2.2289922265101185,3.693458948236122,16,4.0,5713.516442794862,2.597052928543119,1,64.82,45.4,2000.0,13:57,17:30,19:33,"episode runs past the PM window, as most do"
I-66 EB,31353,1,0.499725,2,2200.0,4400.0,65.74294444444445,46.02006111111111,False,0.0,,,,,,,,False,False,1097.5481356643409,2195.0962713286817,8756.194429127812,17512.388858255625,0.49888551621106403,3.9800883768762785,16.937666666666665,17.070204959371114,,,0,1.5,3285.522668699441,1.4934193948633825,1,66.78,46.7,2000.0,,,,
I-66 EB,31357,1,0.076959,4,2200.0,8800.0,66.06477777777778,46.24534444444444,False,0.0,,,,,,,,False,False,1645.875194226442,6583.500776905768,8781.796832694718,35127.18733077887,0.7481250882847464,3.9917258330430534,18.499305555555544,18.597057593329897,,,0,2.75,6025.859587273152,2.7390270851241603,1,,,,,,,
I-66 EB,31384,1,0.771709,2,2200.0,4400.0,66.72288888888889,46.70602222222222,False,0.0,,,,,,,,False,False,549.234259281772,1098.468518563544,7892.582393174465,15785.16478634893,0.2496519360371691,3.587537451442939,9.922263888888889,11.594110373587888,,,0,0.5,1095.4487334218582,0.497931242464481,1,,,,,,,
I-66 EB,31781,1,1.428297,4,2200.0,8800.0,64.69166666666666,45.284166666666664,False,0.0,,,,,,,,False,False,0.0,0.0,8613.01476395586,34452.05905582344,0.0,3.915006710889027,13.139833333333328,13.262094391931226,,,0,0.5,1099.5692813773185,0.499804218807872,1,,,,,,,
I-66 EB,31790,1,1.064303,4,2200.0,8800.0,67.07655555555556,46.95358888888889,False,0.0,,,,,,,,False,False,4390.216013200339,17560.864052801357,8776.765490995895,35107.06196398358,1.9955527332728815,3.9894388595435886,19.727999999999994,19.874634888485804,,,0,2.75,6017.035910227161,2.735016322830528,1,71.19,49.8,1900.0,,,,
I-66 EB,31795,1,0.994511,4,2200.0,8800.0,67.47683333333335,47.23378333333334,False,0.0,,,,,,,,False,False,4931.51019942271,19726.04079769084,8750.780635554098,35003.12254221639,2.241595545192141,3.977627561615499,19.8840138888889,20.1858126629238,,,0,2.75,6008.120310849344,2.7309637776587925,1,68.59949999999999,48.0,1900.0,,,,
I-66 EB,31800,1,1.044581,4,2200.0,8800.0,65.69022222222222,45.98315555555555,False,0.0,,,,,,,,False,False,8327.043038601578,33308.17215440631,8327.043038601578,33308.17215440631,3.7850195630007173,3.7850195630007173,30.748555555555548,30.900470743447688,,,0,4.0,8163.401245526,3.7106369297845454,1,70.92,49.6,2000.0,,,,
