net_link_id,corridor,t_min,clock,obs_speed_mph,obs_speed_smoothed_mph,backcalc_speed_mph,in_episode,cutoff_mph,free_speed_mph,q_vphpl,in_pm_period
28289,I-395 SB,660,11:00,61.792,61.40755555555555,64.39116666666666,False,45.07381666666666,64.39116666666666,1666.5828219283208,False
28289,I-395 SB,675,11:15,60.71933333333333,61.57155555555554,64.39116666666666,False,45.07381666666666,64.39116666666666,1645.9220387420598,False
28289,I-395 SB,690,11:30,62.20333333333333,61.31222222222221,64.39116666666666,False,45.07381666666666,64.39116666666666,1678.116559683062,False
28289,I-395 SB,705,11:45,61.014,61.48266666666666,64.39116666666666,False,45.07381666666666,64.39116666666666,1657.2531922402015,False
28289,I-395 SB,720,12:00,61.23066666666667,61.176222222222215,64.39116666666666,False,45.07381666666666,64.39116666666666,1694.0073726097871,False
28289,I-395 SB,735,12:15,61.284,61.50022222222221,64.39116666666666,False,45.07381666666666,64.39116666666666,1655.0406685853752,False
28289,I-395 SB,750,12:30,61.986,60.86644444444443,64.39116666666666,False,45.07381666666666,64.39116666666666,1727.9557093125081,False
28289,I-395 SB,765,12:45,59.32933333333333,60.71066666666667,64.39116666666666,False,45.07381666666666,64.39116666666666,1743.9599605685926,False
28289,I-395 SB,780,13:00,60.81666666666667,58.40911111111111,64.39116666666666,False,45.07381666666666,64.39116666666666,1922.4901842853253,False
28289,I-395 SB,795,13:15,55.08133333333333,56.405111111111104,64.39116666666666,False,45.07381666666666,64.39116666666666,2022.4001279997133,False
28289,I-395 SB,810,13:30,53.31733333333333,55.399111111111104,64.39116666666666,False,45.07381666666666,64.39116666666666,2060.3116646380668,False
28289,I-395 SB,825,13:45,57.798666666666676,56.86533333333333,64.39116666666666,False,45.07381666666666,64.39116666666666,2002.6270847770363,False
28289,I-395 SB,840,14:00,59.48,57.276,64.39116666666666,False,45.07381666666666,64.39116666666666,1983.5234670253851,False
28289,I-395 SB,855,14:15,54.54933333333333,54.691999999999986,64.39116666666666,False,45.07381666666666,64.39116666666666,2083.14493263942,False
28289,I-395 SB,870,14:30,50.04666666666667,51.785333333333334,64.39116666666666,False,45.07381666666666,64.39116666666666,2150.984273493929,False
28289,I-395 SB,885,14:45,50.76,51.16822222222222,64.39116666666666,False,45.07381666666666,64.39116666666666,2160.9509105462535,False
28289,I-395 SB,900,15:00,52.698,46.33577777777777,64.39116666666666,False,45.07381666666666,64.39116666666666,2199.300910719263,True
28289,I-395 SB,915,15:15,35.54933333333334,39.78044444444444,41.118469730119465,True,45.07381666666666,64.39116666666666,2168.5260077373214,True
28289,I-395 SB,930,15:30,31.094,32.724888888888884,34.61042789301672,True,45.07381666666666,64.39116666666666,2058.3654714350573,True
28289,I-395 SB,945,15:45,31.531333333333336,32.27488888888889,32.27488888888889,True,45.07381666666666,64.39116666666666,2049.0075726590885,True
28289,I-395 SB,960,16:00,34.199333333333335,33.73,32.426241367482326,True,45.07381666666666,64.39116666666666,2078.295992407011,True
28289,I-395 SB,975,16:15,35.45933333333333,35.191111111111105,32.881161055424705,True,45.07381666666666,64.39116666666666,2104.841063269481,True
28289,I-395 SB,990,16:30,35.91466666666667,36.349777777777774,33.641255884121755,True,45.07381666666666,64.39116666666666,2123.8001613405004,True
28289,I-395 SB,1005,16:45,37.67533333333333,36.6191111111111,34.70566510239191,True,45.07381666666666,64.39116666666666,2127.9365857507023,True
28289,I-395 SB,1020,17:00,36.26733333333333,36.801333333333325,36.064773510941436,True,45.07381666666666,64.39116666666666,2130.6764818411807,True
