tmc_code,measurement_tstamp,speed,reference_speed,date,tod_min,clock_min,timestamp,period,wall_clock
110-04178,2025-10-08 12:20:00,55.21,62.0,2025-10-08,740,740,2025-10-08 12:20:00-04:00,MD,12:20
110-04178,2025-10-08 12:25:00,47.59,62.0,2025-10-08,745,745,2025-10-08 12:25:00-04:00,MD,12:25
110-04178,2025-10-08 12:30:00,44.52,62.0,2025-10-08,750,750,2025-10-08 12:30:00-04:00,MD,12:30
110-04178,2025-10-08 12:35:00,47.1,62.0,2025-10-08,755,755,2025-10-08 12:35:00-04:00,MD,12:35
110-04178,2025-10-08 12:40:00,53.24,62.0,2025-10-08,760,760,2025-10-08 12:40:00-04:00,MD,12:40
110-04178,2025-10-08 12:45:00,58.78,62.0,2025-10-08,765,765,2025-10-08 12:45:00-04:00,MD,12:45
110-04178,2025-10-08 12:50:00,58.16,62.0,2025-10-08,770,770,2025-10-08 12:50:00-04:00,MD,12:50
110-04178,2025-10-08 12:55:00,60.34,62.0,2025-10-08,775,775,2025-10-08 12:55:00-04:00,MD,12:55
110-04178,2025-10-08 13:00:00,57.79,62.0,2025-10-08,780,780,2025-10-08 13:00:00-04:00,MD,13:00
110-04178,2025-10-08 13:05:00,57.13,62.0,2025-10-08,785,785,2025-10-08 13:05:00-04:00,MD,13:05
110-04178,2025-10-08 13:10:00,56.78,62.0,2025-10-08,790,790,2025-10-08 13:10:00-04:00,MD,13:10
110-04178,2025-10-08 13:15:00,57.57,62.0,2025-10-08,795,795,2025-10-08 13:15:00-04:00,MD,13:15
110-04178,2025-10-08 13:20:00,58.64,62.0,2025-10-08,800,800,2025-10-08 13:20:00-04:00,MD,13:20
110-04178,2025-10-08 13:25:00,55.76,62.0,2025-10-08,805,805,2025-10-08 13:25:00-04:00,MD,13:25
110-04178,2025-10-08 13:30:00,56.1,62.0,2025-10-08,810,810,2025-10-08 13:30:00-04:00,MD,13:30
110-04178,2025-10-08 13:35:00,55.18,62.0,2025-10-08,815,815,2025-10-08 13:35:00-04:00,MD,13:35
110-04178,2025-10-08 13:40:00,59.38,62.0,2025-10-08,820,820,2025-10-08 13:40:00-04:00,MD,13:40
110-04178,2025-10-08 13:45:00,56.8,62.0,2025-10-08,825,825,2025-10-08 13:45:00-04:00,MD,13:45
110-04178,2025-10-08 13:50:00,61.07,62.0,2025-10-08,830,830,2025-10-08 13:50:00-04:00,MD,13:50
110-04178,2025-10-08 13:55:00,57.75,62.0,2025-10-08,835,835,2025-10-08 13:55:00-04:00,MD,13:55
110-04178,2025-10-08 14:00:00,51.78,62.0,2025-10-08,840,840,2025-10-08 14:00:00-04:00,MD,14:00
110-04178,2025-10-08 14:05:00,54.9,62.0,2025-10-08,845,845,2025-10-08 14:05:00-04:00,MD,14:05
110-04178,2025-10-08 14:10:00,57.18,62.0,2025-10-08,850,850,2025-10-08 14:10:00-04:00,MD,14:10
