time_of_day,speed_mph,period,flow_speed_only_vehph,flow_ref_vehph,flow_ref_source,volume_anchor_factor,lambda_ref_vehph,lambda_ref_source,mu_ref_vehph,queue_start_veh,queue_end_veh,realized_departure_vehph,cumulative_arrivals_veh,cumulative_departures_veh,waiting_time_min,travel_time_min,net_flow_ref_vehph,link_id,tmc_id,dt_minutes,initial_queue_veh
16:40,20.221,PM,4246.362343348295,1882.6417204975742,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1882.6417204975742,speed_to_volume_proxy,1705.801188287569,972.1563073837881,986.8930184012886,1705.8011882875687,3972.0450979045327,2985.1520795032457,34.99999999999999,35.29523809523809,176.84053221000522,26736,110N04169,5,0
16:45,19.202,PM,4144.920645959883,1837.667138429543,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1837.667138429543,speed_to_volume_proxy,1705.801188287569,986.8930184012886,997.8818475797864,1705.8011882875687,4125.184026106995,3127.30217852721,40.0,40.2952380952381,131.86595014197405,26736,110N04169,5,0
16:50,18.289,PM,4050.7976722245576,1795.9373417509823,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1795.9373417509823,speed_to_volume_proxy,1705.801188287569,997.8818475797864,1005.3931937017376,1705.8011882875687,4274.84547125291,3269.452277551174,40.0,40.2952380952381,90.1361534634134,26736,110N04169,5,0
16:55,17.476,PM,3964.291897574158,1757.5846607378055,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1757.5846607378055,speed_to_volume_proxy,1705.801188287569,1005.3931937017376,1009.7084830725908,1705.8011882875687,4421.310859647727,3411.6023765751384,40.0,40.2952380952381,51.78347245023656,26736,110N04169,5,0
17:00,16.755,PM,3885.355529392028,1722.5879063423586,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1722.5879063423586,speed_to_volume_proxy,1705.801188287569,1009.7084830725908,1011.1073762438234,1705.8011882875687,4564.8598518429235,3553.7524755991026,40.0,40.2952380952381,16.786718054789617,26736,110N04169,5,0
17:05,16.122,PM,3814.2564808039133,1691.0658589199702,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1691.0658589199702,speed_to_volume_proxy,1705.801188287569,1011.1073762438234,1009.8794321298569,1705.8011882875687,4705.782006752921,3695.902574623067,40.0,40.2952380952381,-14.735329367598752,26736,110N04169,5,0
17:10,15.571,PM,3750.9416899633356,1662.9949932888806,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1662.9949932888806,speed_to_volume_proxy,1705.801188287569,1009.8794321298569,1006.3122492132995,1705.8011882875687,4844.364922860328,3838.052673647031,40.0,40.2952380952381,-42.8061949986884,26736,110N04169,5,0
17:15,15.099,PM,3695.607541526576,1638.4623773715334,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1638.4623773715334,speed_to_volume_proxy,1705.801188287569,1006.3122492132995,1000.7006816369633,1705.8011882875687,4980.903454307956,3980.2027726709953,40.0,40.2952380952381,-67.33881091603553,26736,110N04169,5,0
17:20,14.701,PM,3648.1336832448433,1617.4146525172985,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1617.4146525172985,speed_to_volume_proxy,1705.801188287569,1000.7006816369633,993.3351369894408,1705.8011882875687,5115.688008684398,4122.3528716949595,34.99999999999999,35.29523809523809,-88.38653577027048,26736,110N04169,5,0
17:25,14.375,PM,3608.6749832893647,1599.9204801490016,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1599.9204801490016,speed_to_volume_proxy,1705.801188287569,993.3351369894408,984.5117446445602,1705.8011882875687,5249.014715363481,4264.502970718923,34.99999999999999,35.29523809523809,-105.88070813856734,26736,110N04169,5,0
