link_id,corridor,tmc_code,t_min,anchor_period,lanes,length_mi,free_speed_mph,cutoff_mph,mu_vph,lambda_anchored_vph,outflow_vph,queue_model_veh,queue_meas_veh,delay_h,travel_time_h,speed_mph,speed_model_mph,lambda_identifiable,model_episode_id
25946,I66_WB,110+04164,855,MD,3,0.29,53.4065,37.38455,5700.0,1577.537855847047,1577.537855847047,0.0,0.0,0.0,0.0054300506492655385,50.38956521739131,53.4065,False,
25946,I66_WB,110+04164,870,MD,3,0.29,53.4065,37.38455,5700.0,1637.9211033570546,1637.9211033570546,0.0,0.0,0.0,0.0054300506492655385,49.79565217391304,53.4065,False,
25946,I66_WB,110+04164,885,MD,3,0.29,53.4065,37.38455,5700.0,1584.861459486776,1584.861459486776,0.0,0.0,0.0,0.0054300506492655385,50.32304347826087,53.4065,False,
25946,I66_WB,110+04164,900,PM,3,0.29,53.4065,37.38455,5700.0,1493.6587409950932,1493.6587409950932,0.0,0.0,0.0,0.0054300506492655385,50.37782608695653,53.4065,False,
25946,I66_WB,110+04164,915,PM,3,0.29,53.4065,37.38455,5700.0,1516.4998446933218,1516.4998446933218,0.0,0.0,0.0,0.0054300506492655385,50.15217391304348,53.4065,False,
25946,I66_WB,110+04164,930,PM,3,0.29,53.4065,37.38455,5700.0,1460.9442706882537,1460.9442706882537,0.0,0.0,0.0,0.0054300506492655385,50.67478260869565,53.4065,False,
25946,I66_WB,110+04164,945,PM,3,0.29,53.4065,37.38455,5700.0,1451.3962527823207,1451.3962527823207,0.0,0.0,0.0,0.0054300506492655385,50.75608695652174,53.4065,False,
25946,I66_WB,110+04164,960,PM,3,0.29,53.4065,37.38455,5700.0,1393.8535069533002,1393.8535069533002,0.0,0.0,0.0,0.0054300506492655385,51.20043478260869,53.4065,False,
25946,I66_WB,110+04164,975,PM,3,0.29,53.4065,37.38455,5700.0,1481.252714389812,1481.252714389812,0.0,0.0,0.0,0.0054300506492655385,50.49391304347826,53.4065,False,
25946,I66_WB,110+04164,990,PM,3,0.29,53.4065,37.38455,5700.0,1517.7295847390792,1517.7295847390792,0.0,0.0,0.0,0.0054300506492655385,50.13956521739131,53.4065,False,
25946,I66_WB,110+04164,1005,PM,3,0.29,53.4065,37.38455,5700.0,1555.4979599760377,1555.4979599760377,0.0,0.0,0.0,0.0054300506492655385,49.72739130434783,53.4065,False,
25946,I66_WB,110+04164,1020,PM,3,0.29,53.4065,37.38455,5700.0,1585.9841005028984,1585.9841005028984,0.0,0.0,0.0,0.0054300506492655385,49.35565217391304,53.4065,False,
25946,I66_WB,110+04164,1035,PM,3,0.29,53.4065,37.38455,5700.0,1614.584744435617,1614.584744435617,0.0,0.0,0.0,0.0054300506492655385,48.97,53.4065,False,
25946,I66_WB,110+04164,1050,PM,3,0.29,53.4065,37.38455,5700.0,1526.372283887705,1526.372283887705,0.0,0.0,0.0,0.0054300506492655385,50.04956521739131,53.4065,False,
25946,I66_WB,110+04164,1065,PM,3,0.29,53.4065,37.38455,5700.0,1511.230947914374,1511.230947914374,0.0,0.0,0.0,0.0054300506492655385,50.205652173913045,53.4065,False,
25946,I66_WB,110+04164,1080,PM,3,0.29,53.4065,37.38455,5700.0,1425.0706609048389,1425.0706609048389,0.0,0.0,0.0,0.0054300506492655385,50.96869565217391,53.4065,False,
25946,I66_WB,110+04164,1095,PM,3,0.29,53.4065,37.38455,5700.0,1407.5561326361403,1407.5561326361403,0.0,0.0,0.0,0.0054300506492655385,51.10130434782609,53.4065,False,
25946,I66_WB,110+04164,1110,PM,3,0.29,53.4065,37.38455,5700.0,1495.613500068024,1495.613500068024,0.0,0.0,0.0,0.0054300506492655385,50.35913043478261,53.4065,False,
25946,I66_WB,110+04164,1125,PM,3,0.29,53.4065,37.38455,5700.0,1582.7807544331874,1582.7807544331874,0.0,0.0,0.0,0.0054300506492655385,49.39652173913043,53.4065,False,
25947,I66_EB,110N04162,360,AM,2,0.18,54.3095,38.01665,3800.0,1284.9215700463467,1284.9215700463467,0.0,0.0,0.0,0.0033143372706432575,52.8195652173913,54.3095,False,
