link_id,corridor,tmc_code,lanes,queue_peak_model_veh,queue_peak_meas_veh,peak_ratio,queue_at_AM_MD_boundary_veh,queue_at_MD_PM_boundary_veh,end_of_run_queue_veh,storage_veh,peak_over_storage,bins_over_storage,bins_at_capacity,unmet_demand_veh,residual_rmse_veh,residual_rmse_in_episode_veh,has_queue
26756,I395_NB,110P04124,4,34.118067044099234,34.08693663304662,1.000913265142824,22.622512561849817,0.0,0.0,280.0,0.12185023944321155,0,11,34.118067044099234,3.1337826106462643,6.812634290922232,True
26759,I395_SB,110N04124,4,40.13964005213347,41.92455785904589,0.9574254828658307,0.0,0.0,0.060624101927714946,224.00000000000003,0.17919482166131012,0,14,43.09146702331623,2.977319887579269,5.738011588103664,True
26761,I395_NB,110P04125,4,0.0,0.0,,0.0,0.0,0.0,280.0,0.0,0,0,0.0,0.0,,False
26764,I395_SB,110-04124,4,37.287146625717924,38.82189623891092,0.9604669075475318,0.0,0.0,0.0,232.0,0.16072045959361175,0,13,41.951269728190255,2.644122330151631,5.095880063022462,True
26768,I395_NB,110P04125,4,0.0,0.0,,0.0,0.0,0.0,224.00000000000003,0.0,0,0,0.0,0.0,,False
26772,I395_SB,110N04125,4,30.29446146944497,30.273407760693573,1.0006954522238731,0.0,0.0,0.12517064484745788,184.0,0.16464381233394004,0,14,31.948361206503932,1.9272598421770626,3.7141574536939346,True
26776,I395_SB,110N04125,4,32.92876238280974,32.90587800075388,1.0006954496717981,0.0,0.0,0.13605482782395484,200.0,0.16464381191404867,0,14,34.72647935818031,2.094847654540297,4.037127667590456,True
26778,I395_NB,110P04126,4,0.0,0.0,,0.0,0.0,0.0,320.0,0.0,0,0,0.0,0.0,,False
26781,I395_SB,110-04125,4,10.472577262617506,10.684698166357608,0.9801472254585537,0.0,0.0,0.0,64.0,0.16363401972839853,0,13,10.820977484011792,0.9320172687748725,1.7353217154813645,True
26785,I395_NB,110+04127,4,0.0,0.0,,0.0,0.0,0.0,128.0,0.0,0,0,0.0,0.0,,False
26788,I395_SB,110N04126,4,76.24807325445204,79.38946160439944,0.9604306631325823,0.0,29.04297814314623,24.06721355673426,456.0,0.16721068696151764,0,17,81.31075498124437,4.619794354445744,8.079785937842862,True
26792,I395_SB,110N04126,4,6.753891463628634,6.963987860035042,0.9698310220194222,0.0,2.7174760122104544,2.127090240282314,40.0,0.16884728659071585,0,17,7.2594845722580885,0.3951632824471316,0.6911205321500117,True
26796,I395_SB,110-04126,4,154.8186212659616,162.2997135557327,0.9539056962833017,0.0,77.98327215729682,52.77340338147292,608.0,0.25463589024006844,0,18,168.7464025180834,4.795995682074997,8.151625190002383,True
26799,I395_SB,110N04127,3,34.57322926201641,36.12242851619538,0.9571125387241229,0.0,0.0,7.8591022601283385,144.0,0.24009186987511397,0,15,34.57322926201641,1.4756813372737945,2.660322363892967,True
26810,I395_SB,110N04127,4,48.018374107298996,50.17003960582693,0.9571125413606804,0.0,0.0,10.915419592157605,200.0,0.24009187053649497,0,15,48.018374107298996,2.04955741288026,3.6948921720735473,True
26814,I395_SB,110N04127,4,23.048819548022266,24.081619010796924,0.9571125403856109,0.0,0.0,5.239401406622619,96.0,0.2400918702918986,0,15,23.048819548022266,0.9837875581825156,1.7735482425952864,True
26821,I395_SB,110N04127,3,11.524409740287638,12.040809505398462,0.9571125375848445,0.0,0.0,2.6197007835867225,48.0,0.2400918695893258,0,15,11.524409740287638,0.4918937790912528,0.8867741212976342,True
26824,I395_SB,110N04670,3,0.0,0.0,,0.0,0.0,0.0,210.0,0.0,0,0,0.0,0.0,,False
26825,I395_NB,110+04129,3,58.58183808188846,65.19138903891505,0.8986131289044768,35.04586986352979,31.23943844490077,28.062532358835824,138.0,0.42450607305716276,0,33,105.13662966207426,3.497340946443307,4.389798141777876,True
26829,I395_SB,110N04128,3,0.0,0.0,,0.0,0.0,0.0,84.00000000000001,0.0,0,0,0.0,0.0,,False
26833,I395_SB,110-04128,3,0.0,0.0,,0.0,0.0,0.0,126.0,0.0,0,0,0.0,0.0,,False
27878,I395_NB,110+04124,4,35.965445041822704,36.701302656956734,0.9799500954499623,20.507725852108706,0.0,0.0,216.0,0.16650669000843846,0,16,53.06649345006531,4.293483614417506,7.507954987027512,True
28025,I395_NB,110+04123,4,137.84471615787493,154.2065369479427,0.8938967107756837,90.29353030575635,0.0,0.0,768.0,0.179485307497233,0,12,137.84471615787493,12.0368033183447,25.04429258408629,True
28270,I395_NB,110P04122,4,47.925484261014844,50.53045107041518,0.9484475844917698,28.31114657594867,0.0,0.0,384.0,0.12480594859639282,0,8,51.5900171716105,4.153506017118719,9.98378594511317,True
28275,I395_NB,110P04122,4,23.33230149062115,23.15979007394029,1.0074487469933924,12.32728456403106,0.0,0.0,176.0,0.13256989483307471,0,8,26.660235569796214,1.8821112701912603,4.524032460535498,True
28279,I395_SB,110N04122,4,0.0,0.0,,0.0,0.0,0.0,24.0,0.0,0,0,0.0,0.0,,False
28283,I395_SB,110N04122,4,0.0,0.0,,0.0,0.0,0.0,144.0,0.0,0,0,0.0,0.0,,False
28285,I395_NB,110P04123,4,78.93650136930046,80.29138077313456,0.9831254688761382,42.52347890693477,0.0,0.0,448.00000000000006,0.17619754769933135,0,12,78.93650136930046,5.786289076405315,12.04410996354535,True
28289,I395_SB,110-04122,4,82.37333824410052,125.40506476879295,0.6568581452110467,0.0,0.0,0.0,888.0000000000001,0.09276276829290599,0,13,82.37333824410052,21.92602870627666,40.824043741468785,True
28294,I395_NB,110+04124,4,9.379868689339219,9.515152540692489,0.9857822719315623,5.246022769767933,0.0,0.0,56.00000000000001,0.16749765516677173,0,16,15.522390153925471,0.9224735791239,1.6131935733415101,True
28298,I395_SB,110N04123,4,68.70175336326656,71.80097102446261,0.9568359923692377,0.0,0.0,0.0,328.0,0.20945656513191024,0,14,68.70175336326656,2.5957795132685995,4.979627840660306,True
