link_id,corridor,tmc_code,lanes,has_queue,restarted,identifiable_bins,unidentifiable_bins,queue_peak_meas_veh,queue_peak_fitted_veh,residual_rmse_veh,residual_mae_veh,residual_max_veh,lambda_mean_vph,lambda_peak_vph,lambda_over_mu_peak,end_of_day_queue_veh
26380,I66_WB,110+04166,2,True,True,4,92,76.6336866247264,78.75514543023576,1.0467442128160136,0.20742882996402412,6.7261922980944995,3687.2811598488975,4057.1611753909174,1.0666054849072808,0.0
26423,I395_NB,110+04126,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26424,I395_NB,110+04127,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26469,I395_NB,110P04130,6,True,False,64,32,178.020759091885,170.05043523180984,5.124619678454603,3.254702909206022,15.923797552080924,10171.333533750372,11674.469257430315,1.024076250651782,0.0
26471,I395_SB,110N04129,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26501,I395_NB,110+04130,3,True,False,58,38,66.80635484539062,62.937625145307265,2.2620249851136167,1.30270357736379,7.588055898699442,4948.020410068294,5702.374039487346,1.006905141035236,0.0
26684,I395_SB,110-04127,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26699,I395_SB,110N04127,3,True,False,16,80,15.051011881748082,14.405512237382709,0.4525300238092059,0.1410849371799894,2.958901014969055,5369.859186691523,5700.000000103342,1.0074412754542088,1.3328644854482263e-09
26708,I395_NB,110+04125,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26712,I395_SB,110N04130,6,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26756,I395_NB,110P04124,4,True,False,11,85,34.08693663304662,34.118067044099234,2.3064025193668938,0.4276742096097,21.453966773950448,7227.802393002622,7600.0827881928,1.0098870135496207,0.0
26759,I395_SB,110N04124,4,True,False,14,82,41.92455785904589,40.13964005213347,2.191926626025215,0.4584398794772567,19.94993319753803,7179.0535109546945,7602.137329090669,1.0154704439139817,0.0
26761,I395_NB,110P04125,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26764,I395_SB,110-04124,4,True,False,14,82,38.82189623891092,37.287146625717924,1.9460219464554442,0.3980692752185567,17.94917473118093,7155.4411980621635,7600.057706455003,1.0151156717580039,0.0
26768,I395_NB,110P04125,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26772,I395_SB,110N04125,4,True,False,14,82,30.273407760693573,30.29446146944474,1.4184248377820468,0.3166731931487736,12.541880440927788,7403.77744511535,7600.002056570046,1.0111987600762984,2.2737367544323206e-13
26776,I395_SB,110N04125,4,True,False,14,82,32.90587800075388,32.92876238280974,1.5417661280239727,0.34420998964744404,13.6324787401389,7403.554871049741,7600.0,1.012172565312178,0.0
26778,I395_NB,110P04126,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26781,I395_SB,110-04125,4,True,False,15,81,10.684698166357608,10.472577262617506,0.6859461367589734,0.15877346061810468,4.684778580400137,7380.183454972415,7600.0,1.0040211899526172,0.0
26785,I395_NB,110+04127,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26788,I395_SB,110N04126,4,True,False,17,79,79.38946160439944,76.24807325445204,3.4013884583834026,0.9632924994822357,28.73718080800738,7017.40132884528,7600.0598780760665,1.0167378515158436,0.0
26792,I395_SB,110N04126,4,True,False,17,79,6.963987860035042,6.753891463628634,0.290939861060343,0.07947592358146842,2.520805334035736,7055.279187156452,7600.003983282575,1.0015661172819834,0.0
26796,I395_SB,110-04126,4,True,False,19,77,162.2997135557327,154.8186212659616,3.5298390883532966,0.9148160333498225,28.158756279576597,6707.093455580722,7600.417177071486,1.0263137404835254,0.0
26799,I395_SB,110N04127,3,True,False,16,80,36.12242851619538,34.57322926201641,1.0860720571420868,0.33860384677115113,7.101362435925732,5374.074653674804,5700.001980534714,1.0178590608980036,0.0
26810,I395_SB,110N04127,4,True,False,16,80,50.17003960582693,48.018374107298996,1.508433412697335,0.4702831242006947,9.863003383230176,7165.8335181007105,7600.001803932409,1.0186031886354867,0.0
26814,I395_SB,110N04127,4,True,False,16,80,24.081619010796924,23.048819548022266,0.7240480380947142,0.22573590013634637,4.734241623950488,7160.656507321454,7600.189983950602,1.0089295304792107,0.0
26821,I395_SB,110N04127,3,True,False,16,80,12.040809505398462,11.524409740287638,0.3620240190473535,0.11286794815429563,2.367120811975244,5368.70069096994,5699.999999999999,1.0059530202907794,0.0
26824,I395_SB,110N04670,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26825,I395_NB,110+04129,3,True,False,38,58,65.19138903891505,58.58183808188846,2.5837982422559613,1.1650974073851152,10.272826549540227,5007.727360499342,5700.000000000001,1.0154674536548787,0.0
26829,I395_SB,110N04128,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26833,I395_SB,110-04128,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
27878,I395_NB,110+04124,4,True,False,17,79,36.701302656956734,35.965445041822704,2.316849468357159,0.670188597360757,17.683297997393435,6494.50389407732,7626.297484090513,1.0088159711956817,0.0
28025,I395_NB,110+04123,4,True,False,12,84,154.2065369479427,137.84471615787493,8.85884825541081,2.424742806065541,69.9949016288146,7352.919559085144,7600.154603897621,1.0457365147836715,0.0
28270,I395_NB,110P04122,4,True,False,9,87,50.53045107041518,47.925484261014844,3.056897658337488,0.44041850254258574,29.39043110129514,7270.836886792659,7600.000022352455,1.0171344253154178,2.268496700708056e-06
28275,I395_NB,110P04122,4,True,False,9,87,23.15979007394029,23.33230149062115,1.3851963885124807,0.18018301960488256,13.470614254760267,7434.536078302954,7600.0,1.0074986397576178,0.0
28279,I395_SB,110N04122,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
28283,I395_SB,110N04122,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
28285,I395_NB,110P04123,4,True,False,12,84,80.29138077313456,78.93650136930046,4.258593671681107,0.848519671782839,38.605585045760485,7108.9859886737795,7600.053586338346,1.021113098231064,0.0
