link_id,corridor,episode_id,t0_min,T2_min,t3_min,P_h,period_by_T2,vT2_mph,bins,lanes,free_speed_mph,cutoff_mph,mu_free_vphpl,mu_queued_vphpl,mu_free_vph,mu_queued_vph,capacity_drop
28312,I395_SB,E1,901.2669475333333,945.0,1115.0727488666666,3.563430022222222,PM,29.326666666666668,14,4,62.2265,43.55855,1900.0,1825.2821003645554,7600.0,7301.128401458222,0.03932521033444458
29007,I395_NB,E1,380.9472474166667,1050.0,1168.50178505,13.125908960555556,PM,20.549999999999997,52,4,65.333,45.73309999999999,2000.0,1861.1198501997897,8000.0,7444.479400799159,0.06944007490010518
29361,I395_NB,E1,391.1743736166666,495.0,621.8318958166667,3.844292036666667,AM,16.186666666666667,15,4,65.65,45.955,1900.0,1705.0372638423703,7600.0,6820.149055369481,0.10261196639875247
29361,I395_NB,E2,889.1827372833334,1050.0,1140.6613812833334,4.191310733333333,PM,18.105652173913043,17,4,65.65,45.955,1900.0,1704.7577180035748,7600.0,6819.030872014299,0.10275909578759224
31354,I66_WB,E1,795.5562686666667,1065.0,1178.8039189,6.387460837222222,PM,24.70275362318841,25,4,67.7165,47.40154999999999,1900.0,1692.8338611989016,7600.0,6771.335444795606,0.109034809895315
31358,I66_WB,E1,795.5562686666667,1065.0,1178.8039189,6.387460837222222,PM,24.70275362318841,25,4,67.7165,47.40154999999999,1900.0,1692.8338611989016,7600.0,6771.335444795606,0.109034809895315
31371,I66_EB,E1,385.1690592333333,480.0,675.3183840666667,4.835822080555556,AM,22.929565217391303,20,4,66.81649999999999,46.77154999999999,2000.0,1839.410245539867,8000.0,7357.640982159468,0.08029487723006645
31371,I66_EB,E2,789.7648112333334,885.0,1137.7763865666668,5.800192922222222,MD,29.432318840579708,23,4,66.81649999999999,46.77154999999999,2000.0,1887.3447003429596,8000.0,7549.378801371839,0.05632764982852023
31388,I66_WB,E1,873.7586626333334,1005.0,1150.297046,4.608973056111111,PM,22.91724637681158,18,5,68.559,47.991299999999995,1900.0,1580.9652625937406,9500.0,7904.826312968703,0.16791301968750494
31404,I66_WB,E1,845.5032459666667,1035.0,1166.4495872833334,5.349105688611112,PM,15.38,21,2,67.77,47.43899999999999,2000.0,1442.2830291783523,4000.0,2884.5660583567046,0.2788584854108238
31406,I66_WB,E1,845.5032459666667,1035.0,1166.4495872833334,5.349105688611112,PM,15.38,21,2,67.77,47.43899999999999,2000.0,1442.2830291783523,4000.0,2884.5660583567046,0.2788584854108238
31410,I66_EB,E1,397.14408103333335,495.0,575.32607225,2.969699853611111,AM,36.70246376811594,12,2,64.7955,45.35685,2000.0,1982.6618399831566,4000.0,3965.323679966313,0.008669080008421703
31411,I66_WB,E1,845.5032459666667,1035.0,1166.4495872833334,5.349105688611112,PM,15.38,21,2,67.77,47.43899999999999,2000.0,1442.2830291783523,4000.0,2884.5660583567046,0.2788584854108238
31413,I66_EB,E1,397.14408103333335,495.0,575.32607225,2.969699853611111,AM,36.70246376811594,12,2,64.7955,45.35685,2000.0,1982.6618399831566,4000.0,3965.323679966313,0.008669080008421703
31414,I66_WB,E1,848.8839540499999,1065.0,1170.4884649666667,5.3600751819444445,PM,17.415797101449275,22,2,68.91,48.236999999999995,2000.0,1569.841932804391,4000.0,3139.683865608782,0.21507903359780445
