link_id,corridor,tmc_code,source,episode_id,t0_min,T2_min,t3_min,P_h,vT2_mph,period_by_T2,onset_to_T2_h,T2_to_recovery_h,free_speed_mph,cutoff_mph
31358,I66_WB,110+04178,model,E1,821.2150179,1065.0,1440.0,10.313083035,24.45517622197869,PM,4.063083035,6.25,67.7165,47.40154999999999
31371,I66_EB,110-04178,model,E1,401.0662592666667,465.0,666.3137885666667,4.420792155,22.527162261350707,AM,1.0655623455555556,3.3552298094444444,66.81649999999999,46.77154999999999
31371,I66_EB,110-04178,model,E2,820.1279102666666,885.0,1440.0,10.331201495555556,29.84531150680561,MD,1.0812014955555556,9.25,66.81649999999999,46.77154999999999
31388,I66_WB,110P04182,model,E1,894.2870750333333,1020.0,1440.0,9.09521541611111,22.657902337638735,PM,2.095215416111111,7.0,68.559,47.991299999999995
31404,I66_WB,110+04183,model,E1,863.6527993,1035.0,1440.0,9.605786678333335,15.29193418120919,PM,2.855786678333333,6.75,67.77,47.43899999999999
31406,I66_WB,110+04183,model,E1,863.6527993,1035.0,1440.0,9.605786678333335,15.291934195216111,PM,2.855786678333333,6.75,67.77,47.43899999999999
31410,I66_EB,110-04182,model,E1,424.30255550000004,495.0,571.3388018666667,2.450604106111111,36.14019940125337,AM,1.1782907416666666,1.2723133644444444,64.7955,45.35685
31411,I66_WB,110+04183,model,E1,863.6527993166667,1035.0,1440.0,9.605786678055555,15.291934188000454,PM,2.8557866780555554,6.75,67.77,47.43899999999999
31413,I66_EB,110-04182,model,E1,425.71477135,495.0,566.181147,2.3411062608333335,36.83854434797011,AM,1.1547538108333333,1.18635245,64.7955,45.35685
31414,I66_WB,110P04183,model,E1,864.7999202833333,1065.0,1440.0,9.586667995277777,17.498838546086333,PM,3.336667995277778,6.25,68.91,48.236999999999995
31415,I66_EB,110N04183,model,E1,426.2663564,495.0,565.9996437000001,2.3288881216666666,34.52799037982455,AM,1.1455607266666668,1.1833273949999998,67.1665,47.016549999999995
31416,I66_WB,110+04184,model,E1,928.3367766166666,1080.0,1440.0,8.527720389722223,29.015162308448364,PM,2.527720389722222,6.0,68.98,48.286
31418,I66_WB,110+04184,model,E1,930.4776218166667,1080.0,1440.0,8.49203963638889,28.964898938872924,PM,2.492039636388889,6.0,68.98,48.286
31419,I66_EB,110-04183,model,E1,402.9302406166667,495.0,551.2840789833333,2.472563972777778,32.69166819154183,AM,1.5344959897222221,0.9380679830555555,69.369,48.558299999999996
