link_id,corridor,tmc_code,variant,mae_period_mph,rmse_period_mph,mae_episode_mph,bias_episode_mph,episode_bins
31421,I66_EB,110+58629,anchored,2.5581249999999995,2.6937071590109074,,,0
31422,I66_EB,110-04183,free_flow,5.68329347826087,5.927403956897317,,,0
31422,I66_EB,110-04183,assignment,5.68329347826087,5.927403956897317,,,0
31422,I66_EB,110-04183,anchored,5.68329347826087,5.927403956897317,,,0
31423,I66_WB,110+04184,free_flow,30.988125000000007,31.649205624637805,31.72211594202899,31.116956521739134,15
31423,I66_WB,110+04184,assignment,30.988125000000007,31.649205624637805,31.72211594202899,31.116956521739134,15
31423,I66_WB,110+04184,anchored,5.664564433373611,8.169781961132678,4.71031800429417,2.955549097548708,15
31424,I66_WB,110-58628,free_flow,9.413891304347825,9.574913684009802,,,0
31424,I66_WB,110-58628,assignment,9.413891304347825,9.574913684009802,,,0
31424,I66_WB,110-58628,anchored,9.413891304347825,9.574913684009802,,,0
31425,I66_WB,110-58628,free_flow,9.413891304347825,9.574913684009802,,,0
31425,I66_WB,110-58628,assignment,9.413891304347825,9.574913684009802,,,0
31425,I66_WB,110-58628,anchored,9.413891304347825,9.574913684009802,,,0
31426,I66_WB,110+04184,free_flow,30.988125000000007,31.649205624637805,31.72211594202899,31.116956521739134,15
31426,I66_WB,110+04184,assignment,30.988125000000007,31.649205624637805,31.72211594202899,31.116956521739134,15
31426,I66_WB,110+04184,anchored,3.4981928142335885,7.416970066187614,2.399521610544812,-0.29422228403393547,15
31427,I66_EB,110-04183,free_flow,5.68329347826087,5.927403956897317,,,0
31427,I66_EB,110-04183,assignment,5.68329347826087,5.927403956897317,,,0
31427,I66_EB,110-04183,anchored,5.68329347826087,5.927403956897317,,,0
31428,I66_EB,110+58629,free_flow,2.5581249999999995,2.6937071590109074,,,0
31428,I66_EB,110+58629,assignment,2.5581249999999995,2.6937071590109074,,,0
31428,I66_EB,110+58629,anchored,2.5581249999999995,2.6937071590109074,,,0
31429,I66_EB,110-04183,free_flow,5.68329347826087,5.927403956897317,,,0
31429,I66_EB,110-04183,assignment,5.68329347826087,5.927403956897317,,,0
31429,I66_EB,110-04183,anchored,5.68329347826087,5.927403956897317,,,0
31720,I66_EB,110P58636,free_flow,4.925103260869571,4.959017452865653,,,0
31720,I66_EB,110P58636,assignment,4.925103260869571,4.959017452865653,,,0
31720,I66_EB,110P58636,anchored,4.925103260869571,4.959017452865653,,,0
31724,I66_EB,110+58636,free_flow,6.123951086956526,6.152331577869111,,,0
31724,I66_EB,110+58636,assignment,6.123951086956526,6.152331577869111,,,0
31724,I66_EB,110+58636,anchored,6.123951086956526,6.152331577869111,,,0
31781,I66_EB,110+58635,free_flow,4.57913586956521,4.63814191943196,,,0
31781,I66_EB,110+58635,assignment,4.57913586956521,4.63814191943196,,,0
31781,I66_EB,110+58635,anchored,4.57913586956521,4.63814191943196,,,0
31785,I66_EB,110+58635,free_flow,4.57913586956521,4.63814191943196,,,0
31785,I66_EB,110+58635,assignment,4.57913586956521,4.63814191943196,,,0
31785,I66_EB,110+58635,anchored,4.57913586956521,4.63814191943196,,,0
31790,I66_EB,110+58634,free_flow,6.9443478260869576,6.978185889479341,,,0
31790,I66_EB,110+58634,assignment,6.9443478260869576,6.978185889479341,,,0
31790,I66_EB,110+58634,anchored,6.9443478260869576,6.978185889479341,,,0
31795,I66_EB,110N04178,free_flow,20.35910326086956,20.463673742539857,,,0
31795,I66_EB,110N04178,assignment,20.35910326086956,20.463673742539857,,,0
31795,I66_EB,110N04178,anchored,20.35910326086956,20.463673742539857,,,0
31800,I66_EB,110+58633,free_flow,11.03774456521739,11.165769007583771,,,0
31800,I66_EB,110+58633,assignment,11.03774456521739,11.165769007583771,,,0
31800,I66_EB,110+58633,anchored,11.03774456521739,11.165769007583771,,,0
31804,I66_EB,110N04179,free_flow,30.196016304347836,31.037774344710307,30.196016304347836,29.728217391304355,16
31804,I66_EB,110N04179,assignment,30.196016304347836,31.037774344710307,30.196016304347836,29.728217391304355,16
31804,I66_EB,110N04179,anchored,3.321459181934207,3.699010576976261,3.321459181934207,3.239813423448652,16
31809,I66_EB,110+58631,free_flow,2.4979673913043374,2.550613314064432,,,0
31809,I66_EB,110+58631,assignment,2.4979673913043374,2.550613314064432,,,0
31809,I66_EB,110+58631,anchored,2.4979673913043374,2.550613314064432,,,0
31818,I66_EB,110+58630,free_flow,2.2909293478260873,2.305760504069461,,,0
31818,I66_EB,110+58630,assignment,2.2909293478260873,2.305760504069461,,,0
31818,I66_EB,110+58630,anchored,2.2909293478260873,2.305760504069461,,,0
31823,I66_EB,110+58630,free_flow,2.2909293478260873,2.305760504069461,,,0
31823,I66_EB,110+58630,assignment,2.2909293478260873,2.305760504069461,,,0
31823,I66_EB,110+58630,anchored,2.2909293478260873,2.305760504069461,,,0
31829,I66_EB,110+58629,free_flow,2.5581249999999995,2.6937071590109074,,,0
31829,I66_EB,110+58629,assignment,2.5581249999999995,2.6937071590109074,,,0
31829,I66_EB,110+58629,anchored,2.5581249999999995,2.6937071590109074,,,0
31833,I66_EB,110+58629,free_flow,2.5581249999999995,2.6937071590109074,,,0
31833,I66_EB,110+58629,assignment,2.5581249999999995,2.6937071590109074,,,0
31833,I66_EB,110+58629,anchored,2.5581249999999995,2.6937071590109074,,,0
32029,I66_WB,110+04178,free_flow,39.667641304347825,39.728356657982424,39.667641304347825,39.11041304347826,16
32029,I66_WB,110+04178,assignment,39.667641304347825,39.728356657982424,39.667641304347825,39.11041304347826,16
32029,I66_WB,110+04178,anchored,0.5456165578281631,0.7580850220001405,0.5456165578281631,0.1243355030108173,16
32031,I66_WB,110P04178,free_flow,29.69701086956521,29.816705733667632,29.69701086956521,28.548043478260865,16
32031,I66_WB,110P04178,assignment,29.69701086956521,29.816705733667632,29.69701086956521,28.548043478260865,16
32031,I66_WB,110P04178,anchored,6.401909237910073,6.6086363227595655,6.401909237910073,6.267204540467684,16
32032,I66_WB,110+04179,free_flow,16.393288043478254,16.53108502361924,,,0
32032,I66_WB,110+04179,assignment,16.393288043478254,16.53108502361924,,,0
32032,I66_WB,110+04179,anchored,16.393288043478254,16.53108502361924,,,0
32034,I66_WB,110P04179,free_flow,8.037038043478258,8.048600112080216,,,0
32034,I66_WB,110P04179,assignment,8.037038043478258,8.048600112080216,,,0
32034,I66_WB,110P04179,anchored,8.037038043478258,8.048600112080216,,,0
32035,I66_WB,110+04180,free_flow,8.904815217391302,8.951259912428458,,,0
32035,I66_WB,110+04180,assignment,8.904815217391302,8.951259912428458,,,0
32035,I66_WB,110+04180,anchored,8.904815217391302,8.951259912428458,,,0
32037,I66_WB,110P04181,free_flow,22.362668478260865,23.01282714977816,25.031282608695648,25.376717391304343,12
32037,I66_WB,110P04181,assignment,22.362668478260865,23.01282714977816,25.031282608695648,25.376717391304343,12
32037,I66_WB,110P04181,anchored,12.059471040078684,12.72190620142754,11.29368602445274,9.99832101193051,12
32038,I66_WB,110P04181,free_flow,22.362668478260865,23.01282714977816,25.031282608695648,25.376717391304343,12
32038,I66_WB,110P04181,assignment,22.362668478260865,23.01282714977816,25.031282608695648,25.376717391304343,12
32038,I66_WB,110P04181,anchored,5.672077906054316,9.254403177196625,2.8260371201322045,0.1922553073584865,12
32041,I66_WB,110-58629,free_flow,6.697146739130428,6.751669494408041,,,0
32041,I66_WB,110-58629,assignment,6.697146739130428,6.751669494408041,,,0
32041,I66_WB,110-58629,anchored,6.697146739130428,6.751669494408041,,,0
32042,I66_WB,110N58629,free_flow,17.64980978260869,17.714403875570408,,,0
32042,I66_WB,110N58629,assignment,17.64980978260869,17.714403875570408,,,0
32042,I66_WB,110N58629,anchored,17.64980978260869,17.714403875570408,,,0
32044,I66_WB,110-58628,free_flow,9.413891304347825,9.574913684009802,,,0
32044,I66_WB,110-58628,assignment,9.413891304347825,9.574913684009802,,,0
32044,I66_WB,110-58628,anchored,9.413891304347825,9.574913684009802,,,0
32045,I66_WB,110-58628,free_flow,9.413891304347825,9.574913684009802,,,0
32045,I66_WB,110-58628,assignment,9.413891304347825,9.574913684009802,,,0
32045,I66_WB,110-58628,anchored,9.413891304347825,9.574913684009802,,,0
32130,I66_WB,110+04174,free_flow,2.5132173913043565,2.555920918381638,,,0
32130,I66_WB,110+04174,assignment,2.5132173913043565,2.555920918381638,,,0
32130,I66_WB,110+04174,anchored,2.5132173913043565,2.555920918381638,,,0
32133,I66_WB,110+04173,free_flow,2.059744565217397,2.1514863610241624,,,0
32133,I66_WB,110+04173,assignment,2.059744565217397,2.1514863610241624,,,0
32133,I66_WB,110+04173,anchored,2.059744565217397,2.1514863610241624,,,0
32134,I66_WB,110P04173,free_flow,1.9393315217391374,1.97913457581519,,,0
32134,I66_WB,110P04173,assignment,1.9393315217391374,1.97913457581519,,,0
32134,I66_WB,110P04173,anchored,1.9393315217391374,1.97913457581519,,,0
32136,I66_WB,110+04174,free_flow,2.5132173913043565,2.555920918381638,,,0
32136,I66_WB,110+04174,assignment,2.5132173913043565,2.555920918381638,,,0
32136,I66_WB,110+04174,anchored,2.5132173913043565,2.555920918381638,,,0
32140,I66_WB,110+04173,free_flow,2.059744565217397,2.1514863610241624,,,0
32140,I66_WB,110+04173,assignment,2.059744565217397,2.1514863610241624,,,0
32140,I66_WB,110+04173,anchored,2.059744565217397,2.1514863610241624,,,0
32141,I395_NB,110+04122,free_flow,15.558048913043473,15.774514631335123,,,0
32141,I395_NB,110+04122,assignment,15.558048913043473,15.774514631335123,,,0
32141,I395_NB,110+04122,anchored,15.558048913043473,15.774514631335123,,,0
32367,I66_EB,110+58629,free_flow,2.5581249999999995,2.6937071590109074,,,0
32367,I66_EB,110+58629,assignment,2.5581249999999995,2.6937071590109074,,,0
32367,I66_EB,110+58629,anchored,2.5581249999999995,2.6937071590109074,,,0
32368,I66_WB,110-58628,free_flow,9.413891304347825,9.574913684009802,,,0
32368,I66_WB,110-58628,assignment,9.413891304347825,9.574913684009802,,,0
32368,I66_WB,110-58628,anchored,9.413891304347825,9.574913684009802,,,0
32369,I66_WB,110-58628,free_flow,9.413891304347825,9.574913684009802,,,0
32369,I66_WB,110-58628,assignment,9.413891304347825,9.574913684009802,,,0
32369,I66_WB,110-58628,anchored,9.413891304347825,9.574913684009802,,,0
32370,I66_EB,110+58629,free_flow,2.5581249999999995,2.6937071590109074,,,0
32370,I66_EB,110+58629,assignment,2.5581249999999995,2.6937071590109074,,,0
32370,I66_EB,110+58629,anchored,2.5581249999999995,2.6937071590109074,,,0
32551,I66_WB,110P04174,free_flow,2.5791032608695628,2.629426547251566,,,0
32551,I66_WB,110P04174,assignment,2.5791032608695628,2.629426547251566,,,0
32551,I66_WB,110P04174,anchored,2.5791032608695628,2.629426547251566,,,0
32552,I66_WB,110+04175,free_flow,1.749380434782608,1.8014462140715757,,,0
32552,I66_WB,110+04175,assignment,1.749380434782608,1.8014462140715757,,,0
32552,I66_WB,110+04175,anchored,1.749380434782608,1.8014462140715757,,,0
32573,I66_WB,110P04175,free_flow,8.53538586956521,8.891472696091473,,,0
32573,I66_WB,110P04175,assignment,8.53538586956521,8.891472696091473,,,0
32573,I66_WB,110P04175,anchored,8.53538586956521,8.891472696091473,,,0
32581,I395_NB,110P04120,free_flow,36.95138586956522,38.068186062788165,36.95138586956522,37.93673913043479,16
32581,I395_NB,110P04120,assignment,36.95138586956522,38.068186062788165,36.95138586956522,37.93673913043479,16
32581,I395_NB,110P04120,anchored,2.04736313426654,5.365940421423258,2.04736313426654,0.20421337178392918,16
32590,I395_SB,110N04120,free_flow,17.616304347826087,18.280603723489936,,,0
32590,I395_SB,110N04120,assignment,39.239360601983066,40.48954204022827,,,0
32590,I395_SB,110N04120,anchored,17.616304347826087,18.280603723489936,,,0
32611,I395_SB,110N04121,free_flow,16.431690217391306,16.855360736762616,,,0
32611,I395_SB,110N04121,assignment,16.431690217391306,16.855360736762616,,,0
32611,I395_SB,110N04121,anchored,16.431690217391306,16.855360736762616,,,0
32616,I395_SB,110-04121,free_flow,13.97052173913043,14.587009157408433,,,0
32616,I395_SB,110-04121,assignment,13.97052173913043,14.587009157408433,,,0
32616,I395_SB,110-04121,anchored,13.97052173913043,14.587009157408433,,,0
32619,I395_SB,110-04121,free_flow,13.97052173913043,14.587009157408433,,,0
32619,I395_SB,110-04121,assignment,13.97052173913043,14.587009157408433,,,0
32619,I395_SB,110-04121,anchored,13.97052173913043,14.587009157408433,,,0
32622,I395_NB,110+04122,free_flow,15.558048913043473,15.774514631335123,,,0
32622,I395_NB,110+04122,assignment,15.558048913043473,15.774514631335123,,,0
32622,I395_NB,110+04122,anchored,15.558048913043473,15.774514631335123,,,0
32624,I395_SB,110N04122,free_flow,14.595222826086946,14.962880405681757,,,0
32624,I395_SB,110N04122,assignment,14.595222826086946,14.962880405681757,,,0
32624,I395_SB,110N04122,anchored,14.595222826086946,14.962880405681757,,,0
32627,I395_SB,110-04121,free_flow,13.97052173913043,14.587009157408433,,,0
32627,I395_SB,110-04121,assignment,13.97052173913043,14.587009157408433,,,0
32627,I395_SB,110-04121,anchored,13.97052173913043,14.587009157408433,,,0
32843,I66_EB,110+58630,free_flow,2.2909293478260873,2.305760504069461,,,0
32843,I66_EB,110+58630,assignment,2.2909293478260873,2.305760504069461,,,0
32843,I66_EB,110+58630,anchored,2.2909293478260873,2.305760504069461,,,0
32847,I66_WB,110-58629,free_flow,6.697146739130428,6.751669494408041,,,0
32847,I66_WB,110-58629,assignment,6.697146739130428,6.751669494408041,,,0
32847,I66_WB,110-58629,anchored,6.697146739130428,6.751669494408041,,,0
32848,I66_WB,110-58629,free_flow,6.697146739130428,6.751669494408041,,,0
