link_id,corridor,tmc_code,lanes,V_assign_veh,lower_bound_veh,upper_bound_veh,window_width_veh,inside_window,below_lower,above_upper,V_over_lower,V_over_upper,queued_bins_in_pm,pinned_by_queue_veh,absorbed_by_free_bins_veh,share_pinned,mu_free_vph,bins_pushed_over_mu,V_assign_over_capacity_h
31352,I66_WB,110-58633,2,2669.5793,0.0,16000.0,16000.0,True,False,False,,0.16684870624999998,0,0.0,2669.5793,0.0,4000.0,0,1.3347896499999998
31353,I66_EB,110-04176,2,7045.9046,0.0,16000.0,16000.0,True,False,False,,0.4403690375,0,0.0,7045.9046,0.0,4000.0,0,3.5229523
31354,I66_WB,110+04178,4,14995.3255,26357.756666635738,26357.756666635738,0.0,False,True,False,0.5689150897648825,0.5689150897648825,16,27080.564951061046,-12085.239451061045,1.8059337859028832,7600.0,0,7.892276578947369
31355,I66_WB,110-58633,2,2669.5793,0.0,16000.0,16000.0,True,False,False,,0.16684870624999998,0,0.0,2669.5793,0.0,4000.0,0,1.3347896499999998
31357,I66_EB,110-04177,4,15651.1085,0.0,30400.0,30400.0,True,False,False,,0.5148390953947368,0,0.0,15651.1085,0.0,7600.0,0,8.23742552631579
31358,I66_WB,110+04178,4,14995.3255,26357.756666635738,26357.756666635738,0.0,False,True,False,0.5689150897648825,0.5689150897648825,16,27048.073397435222,-12052.747897435222,1.8037670070873233,7600.0,0,7.892276578947369
31359,I66_WB,110-58633,2,2669.5793,0.0,16000.0,16000.0,True,False,False,,0.16684870624999998,0,0.0,2669.5793,0.0,4000.0,0,1.3347896499999998
31361,I66_EB,110-04177,4,15651.1085,0.0,30400.0,30400.0,True,False,False,,0.5148390953947368,0,0.0,15651.1085,0.0,7600.0,0,8.23742552631579
31362,I66_WB,110-58633,2,2595.7353,0.0,16000.0,16000.0,True,False,False,,0.16223345625,0,0.0,2595.7353,0.0,4000.0,0,1.29786765
31365,I66_WB,110-58632,2,4942.5766,0.0,16000.0,16000.0,True,False,False,,0.30891103750000004,0,0.0,4942.5766,0.0,4000.0,0,2.4712883000000003
31368,I66_WB,110+04179,4,17982.9651,0.0,32000.0,32000.0,True,False,False,,0.561967659375,0,0.0,17982.9651,0.0,8000.0,0,8.99148255
31369,I66_WB,110-58632,2,4942.5766,0.0,16000.0,16000.0,True,False,False,,0.30891103750000004,0,0.0,4942.5766,0.0,4000.0,0,2.4712883000000003
31371,I66_EB,110-04178,4,16393.8649,30012.278677888888,30012.278677888888,0.0,False,True,False,0.5462385937418989,0.5462385937418989,16,30104.13421964297,-13710.269319642968,1.836304886204288,8000.0,0,8.19693245
31372,I66_WB,110+04179,4,17982.9651,0.0,30400.0,30400.0,True,False,False,,0.5915449046052632,0,0.0,17982.9651,0.0,7600.0,0,9.464718473684211
31373,I66_WB,110-58632,2,4942.5766,0.0,16000.0,16000.0,True,False,False,,0.30891103750000004,0,0.0,4942.5766,0.0,4000.0,0,2.4712883000000003
31375,I66_EB,110+58633,4,16393.8649,0.0,32000.0,32000.0,True,False,False,,0.512308278125,0,0.0,16393.8649,0.0,8000.0,0,8.19693245
31376,I66_WB,110-58631,2,4829.4281,0.0,16000.0,16000.0,True,False,False,,0.30183925625,0,0.0,4829.4281,0.0,4000.0,0,2.41471405
31379,I66_WB,110N58631,2,4829.4281,0.0,16000.0,16000.0,True,False,False,,0.30183925625,0,0.0,4829.4281,0.0,4000.0,0,2.41471405
31381,I66_WB,110P04180,4,16882.902,0.0,30400.0,30400.0,True,False,False,,0.5553586184210526,0,0.0,16882.902,0.0,7600.0,0,8.885737894736842
31382,I66_EB,110+58632,4,13605.367,0.0,30400.0,30400.0,True,False,False,,0.44754496710526315,0,0.0,13605.367,0.0,7600.0,0,7.16071947368421
31383,I66_WB,110-58630,2,6712.9062,0.0,16000.0,16000.0,True,False,False,,0.4195566375,0,0.0,6712.9062,0.0,4000.0,0,3.3564531
31386,I66_WB,110-58629,2,5851.8703,0.0,16000.0,16000.0,True,False,False,,0.36574189375,0,0.0,5851.8703,0.0,4000.0,0,2.92593515
31388,I66_WB,110P04182,5,18221.3593,31948.852567409864,31948.852567409864,0.0,False,True,False,0.5703290677358192,0.5703290677358192,16,31601.507161202702,-13380.147861202702,1.7343111806813831,9500.0,0,9.590189105263159
31392,I66_EB,110+58630,5,16916.3939,0.0,40000.0,40000.0,True,False,False,,0.4229098475,0,0.0,16916.3939,0.0,10000.0,0,8.45819695
31393,I66_EB,110+58631,4,12995.1233,0.0,30400.0,30400.0,True,False,False,,0.4274711611842105,0,0.0,12995.1233,0.0,7600.0,0,6.839538578947368
31395,I66_EB,110-04180,4,13605.367,0.0,30400.0,30400.0,True,False,False,,0.44754496710526315,0,0.0,13605.367,0.0,7600.0,0,7.16071947368421
31397,I66_WB,110-58630,2,6712.9062,0.0,16000.0,16000.0,True,False,False,,0.4195566375,0,0.0,6712.9062,0.0,4000.0,0,3.3564531
31398,I66_WB,110+04181,4,16882.902,0.0,30400.0,30400.0,True,False,False,,0.5553586184210526,0,0.0,16882.902,0.0,7600.0,0,8.885737894736842
31399,I66_EB,110N04182,2,10541.0336,0.0,16000.0,16000.0,True,False,False,,0.6588146,0,0.0,10541.0336,0.0,4000.0,0,5.2705168
31403,I66_EB,110N04182,2,5205.0993,0.0,16000.0,16000.0,True,False,False,,0.32531870625,0,0.0,5205.0993,0.0,4000.0,0,2.60254965
31404,I66_WB,110+04183,2,3843.9517,11478.43002829819,11478.43002829819,0.0,False,True,False,0.3348847961370472,0.3348847961370472,16,11530.491525473146,-7686.539825473146,2.9996452675180976,4000.0,0,1.92197585
31405,I66_WB,110-58628,4,16495.9747,0.0,30400.0,30400.0,True,False,False,,0.5426307467105262,0,0.0,16495.9747,0.0,7600.0,0,8.68209194736842
31406,I66_WB,110+04183,2,3843.9517,11478.43002829819,11478.43002829819,0.0,False,True,False,0.3348847961370472,0.3348847961370472,16,11522.163623949878,-7678.211923949879,2.9974787726780954,4000.0,0,1.92197585
31407,I66_EB,110N04182,2,7684.3782,0.0,16000.0,16000.0,True,False,False,,0.4802736375,0,0.0,7684.3782,0.0,4000.0,0,3.8421891
31408,I66_EB,110P58629,4,11732.9217,0.0,30400.0,30400.0,True,False,False,,0.38595137171052635,0,0.0,11732.9217,0.0,7600.0,0,6.175221947368422
31409,I66_EB,110+58629,4,11732.9217,0.0,30400.0,30400.0,True,False,False,,0.38595137171052635,0,0.0,11732.9217,0.0,7600.0,0,6.175221947368422
31410,I66_EB,110-04182,2,7684.3782,0.0,16000.0,16000.0,True,False,False,,0.4802736375,0,0.0,7684.3782,0.0,4000.0,0,3.8421891
31411,I66_WB,110+04183,2,3843.9517,11478.43002829819,11478.43002829819,0.0,False,True,False,0.3348847961370472,0.3348847961370472,16,11529.936331971354,-7685.984631971354,2.999500834511358,4000.0,0,1.92197585
31412,I66_WB,110-58628,4,16495.9747,0.0,30400.0,30400.0,True,False,False,,0.5426307467105262,0,0.0,16495.9747,0.0,7600.0,0,8.68209194736842
