corridor,link_id,period,bins,bins_below_cutoff,free_speed_mph,capacity_vph,D_counts,D_speed,V_counts,V_speed,V_err,D_err
D12_I5_N,L5N-117,NT,132,0,67.42484382511618,5058.384870466321,0.0,0.0,19786.5775599594,25456.98894249199,28.657868524000683,
D12_I5_N,L5N-119,AM,36,0,66.27660621761657,5372.557772020725,0.0,0.0,14351.99740932642,9876.616500221637,-31.182982977662242,
D12_I5_N,L5N-119,MD,72,0,66.27660621761657,5372.557772020725,0.0,0.0,30636.712435233163,27284.970734268154,-10.940278621770144,
D12_I5_N,L5N-119,PM,48,0,66.27660621761657,5372.557772020725,0.0,0.0,19312.362694300515,16764.16994042491,-13.194619395935597,
D12_I5_N,L5N-119,NT,132,0,66.27660621761657,5372.557772020725,0.0,0.0,20490.266478820573,26878.53790092303,31.177102692664292,
D12_I5_N,L5N-122,AM,36,0,68.44106958762889,5188.444041450777,0.0,0.0,12516.792746113992,10012.867478379216,-20.004527665540785,
D12_I5_N,L5N-122,MD,72,0,68.44106958762889,5188.444041450777,0.0,0.0,29686.93523316062,28325.54797187017,-4.5858127509564035,
D12_I5_N,L5N-122,PM,48,0,68.44106958762889,5188.444041450777,0.0,0.0,18556.715025906735,16656.39286502337,-10.240617254887823,
D12_I5_N,L5N-122,NT,132,0,68.44106958762889,5188.444041450777,0.0,0.0,17360.149030500503,28647.959410755582,65.02139100547598,
D12_I5_N,L5N-125,AM,36,0,68.92850515463921,4573.555958549223,0.0,0.0,11383.170984455955,7588.792899408077,-33.33322577890827,
D12_I5_N,L5N-125,MD,72,0,68.92850515463921,4573.555958549223,0.0,0.0,26523.56476683938,25082.859305112914,-5.431794234264025,
D12_I5_N,L5N-125,PM,48,0,68.92850515463921,4573.555958549223,0.0,0.0,16432.55958549223,14925.081583458981,-9.173726066170182,
D12_I5_N,L5N-125,NT,132,0,68.92850515463921,4573.555958549223,0.0,0.0,16133.895197906095,25353.63077094587,57.14513116607043,
D12_I5_N,L5N-128,AM,36,0,71.28012953367876,7049.784559585492,0.0,0.0,17533.64766839378,16562.469638106126,-5.538938894262734,
D12_I5_N,L5N-128,MD,72,2,71.28012953367876,7049.784559585492,1095.523316062176,1173.2369781221867,37171.60621761657,39490.522035933245,6.2384062844658015,7.093747884741506
D12_I5_N,L5N-128,PM,48,48,71.28012953367876,7049.784559585492,25694.98445595855,27583.063805215854,25694.98445595855,27583.063805215854,7.348046279200865,7.348046279200865
D12_I5_N,L5N-128,NT,132,1,71.28012953367876,7049.784559585492,529.7772020725388,587.1651720282213,32818.440441215746,40862.66913263053,24.51130700687491,10.832472543396598
D12_I5_N,L5N-129,AM,36,0,68.44020725388603,6582.8872538860105,0.0,0.0,15285.84455958549,11342.27949494243,-25.798803914763862,
D12_I5_N,L5N-129,MD,72,0,68.44020725388603,6582.8872538860105,0.0,0.0,35056.60103626943,29971.695173749504,-14.504845627387267,
D12_I5_N,L5N-129,PM,48,0,68.44020725388603,6582.8872538860105,0.0,0.0,25751.321243523318,23265.397986370685,-9.653575572468402,
D12_I5_N,L5N-129,NT,132,0,68.44020725388603,6582.8872538860105,0.0,0.0,33155.43136050425,38312.41489249248,15.553963017146529,
D12_I5_N,L5N-130,AM,36,0,67.71626943005178,5013.995751295337,0.0,0.0,12451.678756476686,10128.620847434588,-18.656584019514394,
D12_I5_N,L5N-130,MD,72,0,67.71626943005178,5013.995751295337,0.0,0.0,25145.440414507764,25350.1971840915,0.8142898521896634,
D12_I5_N,L5N-130,PM,48,0,67.71626943005178,5013.995751295337,0.0,0.0,19111.139896373053,16431.278042311395,-14.02251183651399,
D12_I5_N,L5N-130,NT,132,0,67.71626943005178,5013.995751295337,0.0,0.0,30333.04393461888,24440.658947296382,-19.425630345649424,
