timestamp_la,time_bin,period,episode_id,observed_speed_mph,smoothed_speed_mph,baseline_free_speed_mph,observed_arrival_vph,count_reference_lambda_vph,inferred_lambda_vph,reference_mu_vph,observed_discharge_vph,speed_delay_diagnostic_queue_veh,cumulative_count_gap_veh,count_queue_raw_veh,count_queue_drift_corrected_veh,count_reference_queue_veh,forward_queue_veh,forward_outflow_vph,reconstructed_speed_mph,upstream_pct_observed,ramp_pct_observed,downstream_pct_observed
2025-07-29 10:10:00-07:00,122,MD,1,23.2,18.6,61.77327751479669,7023.328303542856,7008.7784028131855,6927.160839050758,7824.0,7908.0,270.46920525479896,-356.71492022857416,299.27855725714466,250.17264229450683,250.17264229450683,270.4692052547989,7824.0,18.600000000000005,80.0,100.0,100.0
2025-07-29 10:15:00-07:00,123,MD,1,18.6,23.2,61.7286365438824,8040.214074514281,8025.66417378461,7265.409955213516,7908.0,7824.0,195.73260850902878,-430.4375616000028,225.555915885716,175.23750919560553,175.23750919560553,195.73260850902875,7908.0,23.2,100.0,100.0,100.0
2025-07-29 10:20:00-07:00,124,MD,1,30.2,30.2,61.68619301706356,8884.626075428567,8870.076174698896,8131.628642296156,9144.0,9900.0,142.18343811015512,-412.4197220571461,243.57375542857272,192.04285701098974,192.04285701098974,142.18343811015507,9144.0,30.200000000000006,100.0,100.0,100.0
2025-07-29 10:25:00-07:00,125,MD,1,43.3,43.3,61.6459641991407,8884.4274432,8869.877542470329,8450.170100381984,9144.0,9144.0,57.81915830150143,-497.0342157714322,158.95926171428664,106.21587156923113,106.21587156923113,57.819158301501375,9144.0,43.30000000000001,100.0,100.0,100.0
2025-07-29 10:30:00-07:00,126,MD,0,53.9,53.9,61.60796635974696,8201.892962742859,8201.892962742859,7452.0,7452.0,6564.0,0.0,-518.6652621714321,137.3282153142867,83.37233344175866,0.0,0.0,7452.0,61.60796635974696,100.0,100.0,100.0
2025-07-29 10:35:00-07:00,127,MD,0,59.3,59.3,61.57221477334805,8474.96192365714,8474.96192365714,7452.0,7452.0,7452.0,0.0,-382.17418194286057,273.81929554285824,218.65092194285768,0.0,0.0,7452.0,61.57221477334805,100.0,100.0,100.0
2025-07-29 10:40:00-07:00,128,MD,0,59.9,59.9,61.53872371924224,7916.10668434286,7916.10668434286,8304.0,8304.0,8640.0,0.0,-296.92735497143224,359.0661225142866,302.6852571868135,0.0,0.0,8304.0,61.53872371924224,100.0,100.0,100.0
2025-07-29 10:45:00-07:00,129,MD,0,60.6,60.6,61.507506481560405,6990.625722514289,6990.625722514289,8304.0,8304.0,8304.0,0.0,-357.2517979428606,298.7416795428582,241.1483224879126,0.0,0.0,8304.0,61.507506481560405,80.0,100.0,100.0
2025-07-29 10:50:00-07:00,130,MD,0,62.0,62.0,61.478575349265974,8173.695036342845,8173.695036342845,8004.0,8004.0,8004.0,0.0,-466.69965440000317,189.29382308571564,130.4879743032974,0.0,0.0,8004.0,61.478575349265974,100.0,100.0,100.0
2025-07-29 10:55:00-07:00,131,MD,0,62.0,62.0,61.45194161615495,7038.976660114293,7038.976660114293,8004.0,8004.0,7908.0,0.0,-452.55840137143275,203.43507611428606,143.41673560439529,0.0,0.0,8004.0,61.45194161615495,80.0,100.0,100.0
