link_id,date,period,bins,bins_below_cutoff,bins_below_unfiltered,cutoff_mph,capacity_vph,D_counts,D_speed,D_counts_unfiltered,D_speed_unfiltered,V_counts,V_speed
L405S-024,2025-06-20,AM,36,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,21258.0,18669.285862198707
L405S-024,2025-06-20,MD,72,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,36458.0,29216.593203463064
L405S-024,2025-06-20,PM,48,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,8457.0,13618.815049751605
L405S-024,2025-06-20,NT,60,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,8014.0,20858.335630049227
L405S-055,2025-06-16,AM,36,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,20255.0,22002.029173715688
L405S-055,2025-06-16,MD,72,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,34226.0,42261.18838938275
L405S-055,2025-06-16,PM,48,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,6178.0,24159.45032998072
L405S-055,2025-06-16,NT,60,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,17321.0,26369.395739570842
L405S-055,2025-06-17,AM,36,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,20990.0,19991.89257851628
L405S-055,2025-06-17,MD,72,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,34734.0,35128.35160341456
L405S-055,2025-06-17,PM,48,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,5939.0,16775.586330859755
L405S-055,2025-06-17,NT,60,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,17410.0,28293.77239929602
L405S-055,2025-06-18,AM,36,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,20367.0,20904.105247333715
L405S-055,2025-06-18,MD,72,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,36445.0,35866.94474563947
L405S-055,2025-06-18,PM,48,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,6653.0,18041.43053461637
L405S-055,2025-06-18,NT,60,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,15380.0,22924.71414337358
L405S-055,2025-06-19,AM,36,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,21589.0,21697.125442781173
