corridor,link_id,period,period_hours,lanes,length_mi,capacity_vphpl,capacity_vph,cutoff_mph,free_speed_mph,f_d,n,f_p,s,minimum_speed_mph,volume_V_speed_derived_veh,demand_D_speed_derived_vph,k_d_speed_derived,P_h,t0_min,T2_min,t3_min,vT2_mph,episode_identified,x_hat_D_over_C,demand_D_inferred_vph,volume_V_inferred_veh,z_predicted,vT2_predicted_mph,z_from_speed,demand_D_delta,demand_D_ape_pct,volume_V_delta,volume_V_ape_pct,period_hours_q,capacity_vph_q,demand_D_queue_vph,volume_V_queue_veh,queue_max_veh,queue_at_period_end_veh,d_over_c_queue,D_ratio_qvdf_over_queue
I-395 NB,6,PM,6.0,1,0.779,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,58.31,12392.1,2102.6000000000004,1.0180356840244995,,,,,,False,,,,,,,,,,,6.0,2200.0,1980.4914549609039,11880.377031727905,4.417495112330645,3.6638624268101116,0.9002233886185926,
I-395 NB,7,PM,6.0,1,0.083,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,52.14,12894.6,2173.0,1.0111209343446097,,,,,,False,,,,,,,,,,,6.0,2200.0,1980.1308304823901,11879.91522800221,0.8041844484629296,0.5203485415108454,0.9000594684010864,
I-395 NB,8,PM,6.0,1,0.053,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,56.65,12346.4,2125.7,1.03302987105553,,,,,,False,,,,,,,,,,,6.0,2200.0,1980.0773933549667,11879.994566371854,0.3532843273231622,0.19261919347781015,0.9000351787977121,
I-395 NB,9,PM,6.0,1,0.344,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,39.72,12386.0,2132.3,1.0329242693363472,1.5,1020.0,1065.0,1110.0,39.72,True,1.2794267242942077,2814.7387934472567,16350.11710155125,0.1930749014026664,41.07034683437897,0.2336354481369587,682.438793447257,32.00482077790448,3964.11710155125,32.00482077790449,6.0,2200.0,1983.9172670230073,11879.697370678748,7.4177505394907195,1.420991299466742,0.9017805759195487,1.4187783131052383
I-395 NB,10,PM,6.0,1,0.081,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,9.62,7852.7,1593.9,1.21784863804806,6.0,840.0,1050.0,1200.0,9.62,True,5.634572698594669,12396.059936908272,61071.92412733521,0.9487057128019806,25.14489472581496,4.093555093555094,10802.159936908272,677.7187989778702,53219.22412733521,677.7187989778702,6.0,2200.0,1987.239842255412,11878.561919772861,14.380374814374814,3.4041696428571426,0.9032908373888237,6.237827801821545
I-395 NB,11,PM,6.0,1,0.095,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,52.98,12740.7,2150.3,1.0126445171772351,,,,,,False,,,,,,,,,,,6.0,2200.0,1980.1748256277872,11880.092293196129,0.863253518848083,0.7192316448491748,0.9000794661944487,
I-395 NB,12,PM,6.0,1,0.162,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,9.8,7868.5,1582.1,1.2064052869034758,6.0,840.0,960.0,1200.0,9.8,True,5.634572698594669,12396.059936908272,61651.22154956245,0.9487057128019806,25.14489472581496,4.0,10813.959936908272,683.5193689974255,53782.72154956245,683.5193689974258,6.0,2200.0,1994.2261404020808,11876.141673153032,28.148326530612245,7.80227027027027,0.9064664274554912,6.215975052061522
I-395 NB,13,PM,6.0,1,0.139,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,10.51,8266.5,1659.5,1.2045000907276355,6.0,840.0,1050.0,1200.0,10.51,True,5.634572698594669,12396.059936908272,61748.73725125173,0.9487057128019806,25.14489472581496,3.662226450999048,10736.559936908272,646.975591256901,53482.23725125173,646.9755912569011,6.0,2200.0,1989.0921210957558,11878.53213839468,22.25477477232568,4.72300269541779,0.9041327823162526,6.232019022869339
I-395 NB,14,PM,6.0,1,0.932,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,55.09,12800.0,2158.0,1.0115625,,,,,,False,,,,,,,,,,,6.0,2200.0,1981.2389869033748,11880.899134998059,7.134900707932476,6.43828307348535,0.9005631758651703,
I-395 NB,15,PM,6.0,1,0.197,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,18.64,10220.6,1953.4,1.1467428526700976,6.0,840.0,1050.0,1200.0,18.64,True,5.634572698594669,12396.059936908272,64858.79501953757,0.9487057128019806,25.14489472581496,1.628755364806867,10442.659936908272,534.5889186499576,54638.195019537576,534.5889186499576,6.0,2200.0,1984.7680882631753,11879.73611212086,15.353679950950339,3.9669659364846455,0.9021673128468979,6.245596153128287
I-395 NB,16,PM,6.0,1,0.601,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,58.23,12258.4,2094.2,1.0250277360830122,,,,,,False,,,,,,,,,,,6.0,2200.0,1980.9022643262447,11879.89457606358,3.43614351954074,2.2152057853336733,0.900410120148293,
I-395 NB,17,PM,6.0,1,0.392,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,53.05,12930.0,2176.5,1.0099767981438514,,,,,,False,,,,,,,,,,,6.0,2200.0,1980.5454338143595,11879.908515200521,3.54272573044298,2.649345132743364,0.9002479244610725,
I-395 NB,18,PM,6.0,1,0.596,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,41.4,12706.7,2158.4,1.019178858397538,2.25,990.0,1065.0,1125.0,41.4,True,1.9739137617766425,4342.6102759086125,25565.347476319483,0.3075735771588231,37.4739906464539,0.1835748792270533,2184.210275908613,101.19580596314924,12858.647476319482,101.1958059631492,6.0,2200.0,1984.28267294924,11879.519979682758,11.646062111801244,3.477402722729623,0.9019466695223818,2.188503853361875
I-395 NB,19,PM,6.0,1,0.704,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,41.32,12455.8,2126.2,1.0241975625812874,1.5,1020.0,1065.0,1110.0,41.32,True,1.2794267242942077,2814.7387934472567,16489.42877594786,0.1930749014026664,41.07034683437897,0.185866408518877,688.5387934472569,32.38353839936304,4033.628775947862,32.38353839936304,6.0,2200.0,1986.9693584376214,11879.626361241793,13.821610289033325,2.990570583540679,0.9031678901989189,1.4165989935851455
I-395 NB,20,PM,6.0,1,0.648,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,37.36,12752.8,2155.4,1.0140831817326392,4.5,885.0,1050.0,1155.0,37.36,True,4.142389757444438,9113.257466377763,53920.17714448472,0.68179195234571,29.135589530950224,0.3115631691648821,6957.857466377765,322.81049765137635,41167.37714448472,322.8104976513763,6.0,2200.0,1983.461344814298,11877.976417028935,16.013469562557354,4.7180998229361775,0.9015733385519537,4.594623177408579
I-395 NB,21,PM,6.0,1,0.586,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,47.74,12138.2,2060.8,1.018668336326638,0.25,1080.0,1080.0,1095.0,47.74,True,0.1883029362714334,414.2664597971536,2440.0471381549933,0.0246658976901169,47.820465295526745,0.0263929618768328,-1646.533540202846,79.89778436543314,-9698.152861845008,79.89778436543314,6.0,2200.0,1983.1851085138542,11879.876502580904,7.728718894009216,2.426864255299237,0.9014477765972064,0.2088894566718453
I-395 NB,22,PM,6.0,1,1.621,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,18.28,11112.0,2103.4,1.1357451403887688,4.25,885.0,1050.0,1140.0,18.28,True,3.8967676487380136,8572.88882722363,45289.503018022726,0.6384758384465973,29.905842277452088,1.6805251641137855,6469.488827223631,307.5729213284982,34177.503018022726,307.57292132849824,6.0,2200.0,2040.182789702734,11876.07272950684,129.72763175992498,10.955582806573952,0.9273558135012427,4.2020199711971635
