link_id,from_node_id,to_node_id,tmc_code,corridor,road,direction,period,period_hours,bins_in_period,lanes,length_mi,links_sharing_this_tmc,free_speed_obs_p95_mph,free_speed_assign_mph,free_speed_diff_mph,observed_max_mph,assign_free_speed_impossible,cutoff_obs_mph,cutoff_assign_mph,lane_capacity_vphpl,mu_free_vph,mu_queued_vph,capacity_drop,V_assign_veh,V_throughput_obs_veh,V_demand_obs_veh,V_max_feasible_veh,V_from_assignment_veh,obs_volume_in_assignment,D_assign_vphpl,D_obs_vphpl,D_ratio,queued_bins,observation_weight,inside_window,below_lower,above_upper,t0_min_obs,T2_min_obs,t3_min_obs,P_h_obs,vT2_mph_obs,t0_min_model,T2_min_model,t3_min_model,P_h_model,vT2_mph_model,right_censored,speed_mae_episode_mph,speed_mae_period_mph
31365,34865,34868,110-58632,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.6,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,4936.431,0.0,0.0,12000.0,4936.431,-1,822.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31365,34865,34868,110-58632,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,0.6,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,13926.7166,0.0,0.0,24000.0,13926.7166,-1,1160.6,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31365,34865,34868,110-58632,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,0.6,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,4942.5766,0.0,0.0,16000.0,4942.5766,-1,617.8,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31368,34867,34871,110+04179,I66_WB,I-66,WESTBOUND,AM,3.0,12,4,0.35,3,66.71,69.0,2.29,70.58,False,46.697,51.75,2000.0,8000.0,,,9684.1039,0.0,0.0,24000.0,9684.1039,-1,807.0,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,16.39
31368,34867,34871,110+04179,I66_WB,I-66,WESTBOUND,MD,6.0,24,4,0.35,3,66.71,69.0,2.29,70.58,False,46.697,51.75,2000.0,8000.0,,,21502.9707,0.0,0.0,48000.0,21502.9707,-1,896.0,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,16.39
31368,34867,34871,110+04179,I66_WB,I-66,WESTBOUND,PM,4.0,16,4,0.35,3,66.71,69.0,2.29,70.58,False,46.697,51.75,2000.0,8000.0,,,17982.9651,0.0,0.0,32000.0,17982.9651,-1,1123.9,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,16.39
31369,34868,34872,110-58632,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.35,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,4936.431,0.0,0.0,12000.0,4936.431,-1,822.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31369,34868,34872,110-58632,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,0.35,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,13926.7166,0.0,0.0,24000.0,13926.7166,-1,1160.6,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31369,34868,34872,110-58632,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,0.35,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,4942.5766,0.0,0.0,16000.0,4942.5766,-1,617.8,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31371,34870,35067,110-04178,I66_EB,I-66,EASTBOUND,AM,3.0,12,4,0.48,1,66.81649999999999,69.0,2.18,70.45,False,46.77154999999999,51.75,2000.0,8000.0,7357.640982159468,0.0802948772300664,17047.0493,17152.179988948054,18465.010975112764,21152.179988948054,-1417.961675112765,-1,1420.6,1429.3,0.994,10,0.8333,False,True,False,385.1690592333333,480.0,675.3183840666667,4.835822080555556,22.929565217391303,401.0662592666667,465.0,666.3137885666667,,22.527162261350707,True,0.79,0.79
31371,34870,35067,110-04178,I66_EB,I-66,EASTBOUND,MD,6.0,24,4,0.48,1,66.81649999999999,69.0,2.18,70.45,False,46.77154999999999,51.75,2000.0,8000.0,7549.378801371839,0.0563276498285202,25874.175,32473.66532574369,31600.529761929924,46473.66532574369,-5726.354761929924,-1,1078.1,1353.1,0.797,17,0.7083,False,True,False,789.7648112333334,885.0,1137.7763865666668,5.800192922222222,29.432318840579708,820.1279102666666,885.0,1440.0,,29.84531150680561,True,0.79,0.79
31371,34870,35067,110-04178,I66_EB,I-66,EASTBOUND,PM,4.0,16,4,0.48,1,66.81649999999999,69.0,2.18,70.45,False,46.77154999999999,51.75,2000.0,8000.0,,,16393.8649,30012.278677888888,30104.13421964297,30012.278677888888,-13710.269319642968,-1,1024.6,1875.8,0.546,16,1.0,False,True,False,,,,,,,,,,,True,0.79,0.79
31372,34871,35180,110+04179,I66_WB,I-66,WESTBOUND,AM,3.0,12,4,0.25,3,66.71,63.0,-3.71,70.58,False,46.697,47.25,1900.0,7600.0,,,9684.1039,0.0,0.0,22800.0,9684.1039,-1,807.0,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,16.39
31372,34871,35180,110+04179,I66_WB,I-66,WESTBOUND,MD,6.0,24,4,0.25,3,66.71,63.0,-3.71,70.58,False,46.697,47.25,1900.0,7600.0,,,21502.9707,0.0,0.0,45600.0,21502.9707,-1,896.0,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,16.39
31372,34871,35180,110+04179,I66_WB,I-66,WESTBOUND,PM,4.0,16,4,0.25,3,66.71,63.0,-3.71,70.58,False,46.697,47.25,1900.0,7600.0,,,17982.9651,0.0,0.0,30400.0,17982.9651,-1,1123.9,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,16.39
31373,34872,34875,110-58632,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.25,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,4936.431,0.0,0.0,12000.0,4936.431,-1,822.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31373,34872,34875,110-58632,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,0.25,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,13926.7166,0.0,0.0,24000.0,13926.7166,-1,1160.6,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31373,34872,34875,110-58632,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,0.25,3,71.59,75.0,3.41,74.84,True,50.113,56.25,2000.0,4000.0,,,4942.5766,0.0,0.0,16000.0,4942.5766,-1,617.8,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.88
31375,34874,34870,110+58633,I66_EB,I-66,EASTBOUND,AM,3.0,12,4,0.35,2,71.0,69.0,-2.0,75.46,False,49.7,51.75,2000.0,8000.0,,,17047.0493,0.0,0.0,24000.0,17047.0493,-1,1420.6,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,11.04
31375,34874,34870,110+58633,I66_EB,I-66,EASTBOUND,MD,6.0,24,4,0.35,2,71.0,69.0,-2.0,75.46,False,49.7,51.75,2000.0,8000.0,,,25874.175,0.0,0.0,48000.0,25874.175,-1,1078.1,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,11.04
31375,34874,34870,110+58633,I66_EB,I-66,EASTBOUND,PM,4.0,16,4,0.35,2,71.0,69.0,-2.0,75.46,False,49.7,51.75,2000.0,8000.0,,,16393.8649,0.0,0.0,32000.0,16393.8649,-1,1024.6,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,11.04
31376,34875,34877,110-58631,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,1.08,1,71.9165,75.0,3.08,75.06,False,50.34155,56.25,2000.0,4000.0,,,4486.4877,0.0,0.0,12000.0,4486.4877,-1,747.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,3.29
31376,34875,34877,110-58631,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,1.08,1,71.9165,75.0,3.08,75.06,False,50.34155,56.25,2000.0,4000.0,,,12511.1481,0.0,0.0,24000.0,12511.1481,-1,1042.6,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,3.29
