clock_min,wall_clock,period,speed_raw_mph,speed_mph,queued_regime,mu_vph,lambda_b_vph,lambda_b_identifiable,queue_b_measurement_veh,queue_b_recurrence_veh,outflow_b_vph,lambda_a_vph,queue_a_veh,outflow_a_vph
945,15:45,PM,26.58,26.58,True,6840.0,6792.078674472017,True,161.52172453361567,141.11543859070215,6840.0,7954.893550285369,1934.3260798563083,6840.0
950,15:50,PM,32.43,28.13,True,6840.0,6810.384491990202,True,113.03172670533607,137.12199479670358,6840.0,7954.893550285369,2027.2338757134223,6840.0
955,15:55,PM,28.13,32.43,True,6840.0,6828.057345777312,True,146.7100140937761,134.6540357958871,6840.0,7954.893550285369,2120.1416715705363,6840.0
960,16:00,PM,32.65,28.13,True,6840.0,6843.704630298533,True,111.54719057988935,133.65881461066306,6840.0,7954.893550285369,2213.0494674276506,6840.0
965,16:05,PM,26.15,29.72,True,6840.0,6856.212977377373,True,165.9419050877205,133.96753380220744,6840.0,7954.893550285369,2305.957263284765,6840.0
970,16:10,PM,29.72,29.07,True,6840.0,6865.585968270737,True,133.12134850634533,135.31861525032187,6840.0,7954.893550285369,2398.865059141879,6840.0
975,16:15,PM,29.07,29.07,True,6840.0,6872.1064215938495,True,138.49683461195852,137.45077927288327,6840.0,7954.893550285369,2491.7728549989934,6840.0
980,16:20,PM,26.51,29.07,True,6840.0,6876.057155961957,True,162.23151728442392,140.12631440570405,6840.0,7954.893550285369,2584.6806508561076,6840.0
985,16:25,PM,29.18,29.18,True,6840.0,6877.720989990292,True,137.57030225700143,143.13107740253378,6840.0,7954.893550285369,2677.588446713222,6840.0
990,16:30,PM,33.05,32.73,True,6840.0,6877.38074229409,True,108.89866869578873,146.2744932350581,6840.0,7954.893550285369,2770.496242570336,6840.0
995,16:35,PM,32.73,32.73,True,6840.0,6875.319231488588,True,111.01230730295977,149.38955509289892,6840.0,7954.893550285369,2863.4040384274504,6840.0
1000,16:40,PM,29.36,29.36,True,6840.0,6871.819276189022,True,136.0691339387737,152.3328243836146,6840.0,7954.893550285369,2956.3118342845646,6840.0
1005,16:45,PM,27.13,27.13,True,6840.0,6867.163695010631,True,156.07223098237546,154.9844307326998,6840.0,7954.893550285369,3049.219630141679,6840.0
1010,16:50,PM,23.36,24.57,True,6840.0,6861.635306568653,True,198.57497230333644,157.24807198358573,6840.0,7954.893550285369,3142.127425998793,6840.0
1015,16:55,PM,24.57,24.18,True,6840.0,6855.516929478315,True,183.51217613318238,159.05101419764011,6840.0,7954.893550285369,3235.0352218559074,6840.0
1020,17:00,PM,24.18,24.57,True,6840.0,6849.091382354866,True,188.20248429813572,160.3440916541664,6840.0,7954.893550285369,3327.9430177130216,6840.0
1025,17:05,PM,26.11,26.11,True,6840.0,6842.632991491954,True,166.36048622166405,161.10170685040524,6840.0,7954.893550285369,3420.850813570136,6840.0
1030,17:10,PM,31.75,27.94,True,6840.0,6836.382113896927,True,117.75036250450135,161.32112280806808,6840.0,7954.893550285369,3513.75860942725,6840.0
1035,17:15,PM,27.94,29.79,True,6840.0,6830.570614255541,True,148.43726604065023,161.01963229947867,6840.0,7954.893550285369,3606.6664052843644,6840.0
1040,17:20,PM,29.79,28.72,True,6840.0,6825.430357253563,True,132.55644150728463,160.23385015410707,6840.0,7954.893550285369,3699.5742011414786,6840.0
1045,17:25,PM,28.72,28.72,True,6840.0,6821.1932075767545,True,141.49211029604828,159.01971325857065,6840.0,7954.893550285369,3792.481996998593,6840.0
1050,17:30,PM,22.09,24.79,True,6840.0,6818.091029910876,True,216.15960861137265,157.45248055663353,6840.0,7954.893550285369,3885.389792855707,6840.0
1055,17:35,PM,24.79,24.79,True,6840.0,6816.3556889416905,True,180.9314660335469,155.62673304920656,6840.0,7954.893550285369,3978.2975887128214,6840.0
1060,17:40,PM,25.0,25.0,True,6840.0,6816.219049354961,True,178.51043150607615,153.65637379434745,6840.0,7954.893550285369,4071.2053845699356,6840.0
1065,17:45,PM,26.78,26.78,True,6840.0,6817.91297583645,True,159.51419163871242,151.67462790726083,6840.0,7954.893550285369,4164.11318042705,6840.0
1070,17:50,PM,29.79,28.79,True,6840.0,6821.669333071921,True,132.55644150728463,149.83404256029831,6840.0,7954.893550285369,4257.020976284164,6840.0
1075,17:55,PM,28.79,28.79,True,6840.0,6827.7199857471305,True,140.88722898909108,148.30648698295838,6840.0,7954.893550285369,4349.928772141278,6840.0
1080,18:00,PM,28.01,28.79,True,6840.0,6836.296798547849,True,147.79818379397332,147.28315246188592,6840.0,7954.893550285369,4442.836567998393,6840.0
1085,18:05,PM,31.52,31.52,True,6840.0,6846.840443084811,True,119.39244934770052,146.97455234087334,6840.0,7954.893550285369,4535.744363855507,6840.0
1090,18:10,PM,34.39,31.52,True,6840.0,6855.626818668694,True,100.47503675690487,147.54458926460762,6840.0,7954.893550285369,4628.652159712621,6840.0
1095,18:15,PM,30.09,30.09,True,6840.0,6858.140631535132,True,130.16518157108112,148.84682415366544,6840.0,7954.893550285369,4721.559955569735,6840.0
1100,18:20,PM,29.59,29.59,True,6840.0,6849.866587919781,True,134.1775525015476,150.3585434482598,6840.0,7954.893550285369,4814.46775142685,6840.0
1105,18:25,PM,28.17,28.17,True,6840.0,6826.289394058287,True,146.34935105623586,151.18075910824152,6840.0,7954.893550285369,4907.375547283964,6840.0
1110,18:30,PM,23.59,23.74,True,6840.0,6782.893756186295,True,195.59285116932327,150.0382086130988,6840.0,7954.893550285369,5000.283343141078,6840.0
1115,18:35,PM,23.74,23.74,True,6840.0,6715.164380539451,True,193.67912045367515,145.2793549619567,6840.0,7954.893550285369,5093.191138998192,6840.0
1120,18:40,PM,26.52,26.52,True,6840.0,6618.5859733534035,True,162.12988891060104,134.87638667357757,6840.0,7954.893550285369,5186.098934855307,6840.0
1125,18:45,PM,31.41,31.41,True,6840.0,6488.643240863801,True,120.18629626710765,116.4252177863612,6840.0,7954.893550285369,5279.006730712421,6840.0
1130,18:50,PM,36.92,36.92,True,6840.0,6320.820889306291,True,86.23782721918556,87.14548785834464,6840.0,7954.893550285369,5371.914526569535,6840.0
1135,18:55,PM,52.88,52.88,False,7600.0,6110.6036249165145,True,0.0,43.880561967202226,6637.170368522941,7954.893550285369,5464.822322426649,7600.0
1140,19:00,NT,55.93,55.93,False,7600.0,5853.476153930127,False,0.0,0.0,5853.476153930127,3907.6808049757956,5494.39678495043,7600.0
1145,19:05,NT,59.93,59.93,False,7600.0,5547.807286507525,False,0.0,0.0,5547.807286507525,3907.6808049757956,5186.703518698413,7600.0
1150,19:10,NT,60.38,59.93,False,7600.0,5203.502248508145,False,0.0,0.0,5203.502248508145,3907.6808049757956,4879.010252446396,7600.0
1155,19:15,NT,58.19,59.19,False,7600.0,4833.350369716169,False,0.0,0.0,4833.350369716169,3907.6808049757956,4571.31698619438,7600.0
1160,19:20,NT,59.19,58.19,False,7600.0,4450.1409799157855,False,0.0,0.0,4450.1409799157855,3907.6808049757956,4263.623719942363,7600.0
1165,19:25,NT,57.75,59.19,False,7600.0,4066.6634088911837,False,0.0,0.0,4066.6634088911837,3907.6808049757956,3955.930453690346,7600.0
1170,19:30,NT,59.5,59.15,False,7600.0,3695.7069864265472,False,0.0,0.0,3695.7069864265472,3907.6808049757956,3648.237187438329,7600.0
1175,19:35,NT,59.15,59.5,False,7600.0,3350.061042306064,False,0.0,0.0,3350.061042306064,3907.6808049757956,3340.5439211863118,7600.0
1180,19:40,NT,59.95,59.72,False,7600.0,3042.514906313921,False,0.0,0.0,3042.514906313921,3907.6808049757956,3032.8506549342947,7600.0
1185,19:45,NT,59.72,59.95,False,7600.0,2785.8579082343053,False,0.0,0.0,2785.8579082343053,3907.6808049757956,2725.1573886822775,7600.0
1190,19:50,NT,60.34,59.72,False,7600.0,2592.879377851405,False,0.0,0.0,2592.879377851405,3907.6808049757956,2417.4641224302604,7600.0
1195,19:55,NT,57.18,60.34,False,7600.0,2476.368644949404,False,0.0,0.0,2476.368644949404,3907.6808049757956,2109.7708561782433,7600.0
1200,20:00,NT,63.95,57.18,False,7600.0,2449.115039312492,False,0.0,0.0,2449.115039312492,3907.6808049757956,1802.0775899262262,7600.0
1205,20:05,NT,56.99,60.36,False,7600.0,2519.624500334349,False,0.0,0.0,2519.624500334349,3907.6808049757956,1494.384323674209,7600.0
1210,20:10,NT,60.36,60.36,False,7600.0,2679.2694058466304,False,0.0,0.0,2679.2694058466304,3907.6808049757956,1186.691057422192,7600.0
1215,20:15,NT,62.19,62.0,False,7600.0,2915.1387432904858,False,0.0,0.0,2915.1387432904858,3907.6808049757956,878.997791170175,7600.0
1220,20:20,NT,62.0,62.18,False,7600.0,3214.3215001070666,False,0.0,0.0,3214.3215001070666,3907.6808049757956,571.304524918158,7600.0
1225,20:25,NT,62.18,62.0,False,7600.0,3563.9066637375213,False,0.0,0.0,3563.9066637375213,3907.6808049757956,263.611258666141,7071.015908969488
1230,20:30,NT,60.75,60.75,False,7600.0,3950.9832216230006,False,0.0,0.0,3950.9832216230006,3907.6808049757956,0.0,3907.6808049757956
1235,20:35,NT,59.14,60.75,False,7600.0,4362.640161204654,False,0.0,0.0,4362.640161204654,3907.6808049757956,0.0,3907.6808049757956
1240,20:40,NT,64.19,63.18,False,7600.0,4785.966469923631,False,0.0,0.0,4785.966469923631,3907.6808049757956,0.0,3907.6808049757956
1245,20:45,NT,63.18,63.18,False,7600.0,5208.0511352210815,False,0.0,0.0,5208.0511352210815,3907.6808049757956,0.0,3907.6808049757956
1250,20:50,NT,60.0,61.18,False,7600.0,5615.983144538158,False,0.0,0.0,5615.983144538158,3907.6808049757956,0.0,3907.6808049757956
1255,20:55,NT,61.18,61.18,False,7600.0,5996.851485316005,False,0.0,0.0,5996.851485316005,3907.6808049757956,0.0,3907.6808049757956
1260,21:00,NT,61.6,61.59,False,7600.0,6337.745144995778,False,0.0,0.0,6337.745144995778,3907.6808049757956,0.0,3907.6808049757956
1265,21:05,NT,61.59,61.6,False,7600.0,6628.640444930659,False,0.0,0.0,6628.640444930659,3907.6808049757956,0.0,3907.6808049757956
1270,21:10,NT,65.98,65.57,False,7600.0,6871.063042121989,False,0.0,0.0,6871.063042121989,3907.6808049757956,0.0,3907.6808049757956
1275,21:15,NT,65.57,65.57,False,7600.0,7069.425927483133,False,0.0,0.0,7069.425927483133,3907.6808049757956,0.0,3907.6808049757956
1280,21:20,NT,64.6,65.2,False,7600.0,7228.142091927468,False,0.0,0.0,7228.142091927468,3907.6808049757956,0.0,3907.6808049757956
1285,21:25,NT,65.2,65.0,False,7600.0,7351.624526368366,False,0.0,0.0,7351.624526368366,3907.6808049757956,0.0,3907.6808049757956
1290,21:30,NT,65.0,65.2,False,7600.0,7444.286221719197,False,0.0,0.0,7444.286221719197,3907.6808049757956,0.0,3907.6808049757956
1295,21:35,NT,65.2,65.0,False,7600.0,7510.540168893333,False,0.0,0.0,7510.540168893333,3907.6808049757956,0.0,3907.6808049757956
1300,21:40,NT,63.6,64.79,False,7600.0,7554.799358804146,False,0.0,0.0,7554.799358804146,3907.6808049757956,0.0,3907.6808049757956
1305,21:45,NT,64.79,64.79,False,7600.0,7581.476782365011,False,0.0,0.0,7581.476782365011,3907.6808049757956,0.0,3907.6808049757956
1310,21:50,NT,66.0,66.0,False,7600.0,7594.9854304893,False,0.0,0.0,7594.9854304893,3907.6808049757956,0.0,3907.6808049757956
1315,21:55,NT,66.39,66.0,False,7600.0,7599.738294090378,False,0.0,0.0,7599.738294090378,3907.6808049757956,0.0,3907.6808049757956
1320,22:00,NT,65.96,66.39,False,7600.0,7600.148364081628,False,0.0,0.0,7600.0,3907.6808049757956,0.0,3907.6808049757956
1325,22:05,NT,66.59,65.96,False,7600.0,7599.892002217215,False,0.0,0.012363673468977746,7600.0,3907.6808049757956,0.0,3907.6808049757956
1330,22:10,NT,64.19,64.19,False,7600.0,7599.699053614541,False,0.0,0.0033638582369045853,7599.739419913384,3907.6808049757956,0.0,3907.6808049757956
1335,22:15,NT,63.38,64.19,False,7600.0,7599.562734231789,False,0.0,0.0,7599.562734231789,3907.6808049757956,0.0,3907.6808049757956
1340,22:20,NT,65.6,63.78,False,7600.0,7599.476260027164,False,0.0,0.0,7599.476260027164,3907.6808049757956,0.0,3907.6808049757956
1345,22:25,NT,63.78,63.78,False,7600.0,7599.432846958857,False,0.0,0.0,7599.432846958857,3907.6808049757956,0.0,3907.6808049757956
1350,22:30,NT,62.98,63.78,False,7600.0,7599.425710985062,False,0.0,0.0,7599.425710985062,3907.6808049757956,0.0,3907.6808049757956
1355,22:35,NT,63.99,63.99,False,7600.0,7599.448068063974,False,0.0,0.0,7599.448068063974,3907.6808049757956,0.0,3907.6808049757956
1360,22:40,NT,65.4,65.4,False,7600.0,7599.493134153787,False,0.0,0.0,7599.493134153787,3907.6808049757956,0.0,3907.6808049757956
1365,22:45,NT,66.4,65.4,False,7600.0,7599.554125212699,False,0.0,0.0,7599.554125212699,3907.6808049757956,0.0,3907.6808049757956
1370,22:50,NT,62.96,62.96,False,7600.0,7599.624257198906,False,0.0,0.0,7599.624257198906,3907.6808049757956,0.0,3907.6808049757956
