model_link_id,tmc_id,day_id,period_id,period_hours,samples,observed_volume_veh,average_flow_rate_vph,D_peak_1h_vph,k_d_daily_derived,D_status,nominal_capacity_vph,capacity_basis,cutoff_speed_mph,k_mu,mu_vph,mu_status,T2_timestamp_la,vT2_observed_mph,t0_clock_h,t3_clock_h,P_observed_h,speed_state_quality,volume_status
L405S-001,1223027,2025-06-17,PM,4.0,48,7256.0,1814.0,3290.0,1.8136714443219404,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-17 18:00:00-07:00,66.6,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-18,AM,4.0,48,27695.0,6923.75,7226.0,1.0436540891857735,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-18 07:30:00-07:00,60.6,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-18,MD,5.0,60,29912.0,5982.4,7256.0,1.2128911473656059,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-18 10:00:00-07:00,60.6,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-18,NT1,6.0,72,38390.0,6398.333333333333,7373.0,1.152331336285491,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-18 02:05:00-07:00,58.8,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-18,NT2,5.0,60,11217.0,2243.4,5581.0,2.487741820451101,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-18 23:40:00-07:00,64.4,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-18,PM,4.0,48,7847.0,1961.75,3303.0,1.6837007773671466,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-18 17:45:00-07:00,63.9,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-19,AM,4.0,48,28314.0,7078.5,7252.0,1.0245108426926608,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 07:15:00-07:00,46.0,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-19,MD,5.0,60,26027.0,5205.4,6968.0,1.3386099050985516,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 10:25:00-07:00,61.8,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-19,NT1,6.0,72,38899.0,6483.166666666667,7197.0,1.1101056582431423,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 04:15:00-07:00,58.4,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-19,NT2,5.0,60,11280.0,2256.0,5332.0,2.3634751773049647,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 23:45:00-07:00,65.6,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
