period,link_id,corridor,tmc_code,lanes,period_hours,V_assign_veh,lower_bound_veh,upper_bound_veh,inside_window,below_lower,above_upper,V_over_lower,V_over_upper,queued_bins,pinned_by_queue_veh,absorbed_by_free_bins_veh,share_pinned,mu_free_vph,bins_clipped_at_mu_free,volume_not_placed_veh,share_not_placed,V_assign_vphpl,queue_peak_model_veh,queue_peak_meas_veh,peak_ratio,queue_at_AM_MD_boundary_veh,queue_at_MD_PM_boundary_veh,end_of_run_queue_veh,storage_veh,peak_over_storage,bins_over_storage,bins_at_capacity,unmet_demand_veh,residual_rmse_veh,residual_rmse_in_episode_veh,has_queue,length_mi,free_speed_mph,cutoff_mph,mae_period_mph_anchored,mae_episode_mph_anchored,bias_episode_mph_anchored,episode_bins_anchored,mae_period_mph_assignment,mae_episode_mph_assignment,bias_episode_mph_assignment,episode_bins_assignment,mae_period_mph_free_flow,mae_episode_mph_free_flow,bias_episode_mph_free_flow,episode_bins_free_flow,t0_min_obs,T2_min_obs,t3_min_obs,P_h_obs,vT2_mph_obs,t0_min_model,T2_min_model,t3_min_model,P_h_model,vT2_mph_model
AM,26761,I395_NB,110P04125,4,3.0,19563.1224,0.0,22800.0,True,False,False,,0.8580316842105263,0,0.0,19563.1224,0.0,7600.0,0,0.0,0.0,1630.2602,0.0,0.0,,0.0,0.0,0.0,280.0,0.0,0,0,0.0,0.0,,False,0.35,67.81,47.467,8.790217391304349,,,0,8.790217391304349,,,0,8.790217391304349,,,0,,,,,,,,,,
AM,26764,I395_SB,110-04124,4,3.0,11440.7239,0.0,22800.0,True,False,False,,0.5017861359649123,0,0.0,11440.7239,0.0,7600.0,0,0.0,0.0,953.3936583333334,37.28714662571792,38.82189623891092,0.9604669075475318,0.0,0.0,0.0,232.0,0.1607204595936117,0,13,41.951269728190255,2.644122330151631,5.095880063022462,True,0.29,61.763000000000005,43.2341,3.976001589055815,2.311616722896084,0.1721387772595584,14,26.93172282608697,28.546726708074544,30.394304347826097,14,26.93172282608696,28.54672670807454,30.39430434782609,14,,,,,,,,,,
AM,26768,I395_NB,110P04125,4,3.0,20783.8675,0.0,22800.0,True,False,False,,0.9115731359649124,0,0.0,20783.8675,0.0,7600.0,0,0.0,0.0,1731.9889583333334,0.0,0.0,,0.0,0.0,0.0,224.00000000000003,0.0,0,0,0.0,0.0,,False,0.28,67.81,47.467,8.790217391304349,,,0,8.790217391304349,,,0,8.790217391304349,,,0,,,,,,,,,,
AM,26772,I395_SB,110N04125,4,3.0,10051.0644,0.0,22800.0,True,False,False,,0.4408361578947368,0,0.0,10051.0644,0.0,7600.0,0,0.0,0.0,837.5886999999999,30.29446146944497,30.273407760693573,1.0006954522238731,0.0,0.0,0.1251706448474578,184.0,0.16464381233394,0,14,31.94836120650393,1.9272598421770624,3.714157453693935,True,0.23,63.78,44.646,4.05551991885399,2.381430466382984,0.1520880971743086,14,28.56763586956522,30.374565217391307,33.23021739130435,14,28.56763586956522,30.374565217391307,33.23021739130435,14,,,,,,,,,,
AM,26776,I395_SB,110N04125,4,3.0,11157.4341,0.0,22800.0,True,False,False,,0.4893611447368421,0,0.0,11157.4341,0.0,7600.0,0,0.0,0.0,929.786175,32.92876238280974,32.90587800075388,1.000695449671798,0.0,0.0,0.1360548278239548,200.0,0.1646438119140486,0,14,34.72647935818031,2.094847654540297,4.037127667590456,True,0.25,63.78,44.646,4.055519961489466,2.381430481630362,0.1520880918188094,14,28.56763586956521,30.374565217391297,33.230217391304336,14,28.56763586956522,30.374565217391307,33.23021739130435,14,,,,,,,,,,
AM,26778,I395_NB,110P04126,4,3.0,17263.8016,0.0,22800.0,True,False,False,,0.7571842807017544,0,0.0,17263.8016,0.0,7600.0,0,0.0,0.0,1438.650133333333,0.0,0.0,,0.0,0.0,0.0,320.0,0.0,0,0,0.0,0.0,,False,0.4,64.69,45.283,10.426929347826082,,,0,10.426929347826082,,,0,10.426929347826082,,,0,,,,,,,,,,
AM,26781,I395_SB,110-04125,4,3.0,11157.4341,0.0,22800.0,True,False,False,,0.4893611447368421,0,0.0,11157.4341,0.0,7600.0,0,0.0,0.0,929.786175,10.472577262617506,10.684698166357608,0.9801472254585536,0.0,0.0,0.0,64.0,0.1636340197283985,0,13,10.820977484011792,0.9320172687748725,1.7353217154813645,True,0.08,65.3565,45.74954999999999,5.323231324618998,4.416375731767512,0.298158460114422,15,30.08927173913043,30.833485507246376,34.41389130434782,15,30.08927173913043,30.833485507246376,34.41389130434782,15,,,,,,,,,,
AM,26785,I395_NB,110+04127,4,3.0,17654.8321,0.0,24000.0,True,False,False,,0.7356180041666667,0,0.0,17654.8321,0.0,8000.0,0,0.0,0.0,1471.2360083333333,0.0,0.0,,0.0,0.0,0.0,128.0,0.0,0,0,0.0,0.0,,False,0.16,66.15,46.305,6.699782608695658,,,0,6.699782608695658,,,0,6.699782608695658,,,0,,,,,,,,,,
AM,26788,I395_SB,110N04126,4,3.0,9694.4775,0.0,22800.0,True,False,False,,0.4251963815789474,0,0.0,9694.4775,0.0,7600.0,0,0.0,0.0,807.8731250000001,76.24807325445204,79.38946160439944,0.9604306631325824,0.0,29.04297814314623,24.06721355673426,456.0,0.1672106869615176,0,17,81.31075498124437,4.619794354445744,8.079785937842862,True,0.57,65.73,46.011,1.196650214191206,1.196650214191206,0.392744242284321,16,32.591032608695656,32.591032608695656,34.98065217391305,16,32.591032608695656,32.591032608695656,34.98065217391305,16,,,,,,,,,,
AM,26792,I395_SB,110N04126,4,3.0,10003.9372,0.0,22800.0,True,False,False,,0.4387691754385965,0,0.0,10003.9372,0.0,7600.0,0,0.0,0.0,833.6614333333333,6.753891463628634,6.963987860035042,0.9698310220194222,0.0,2.7174760122104544,2.127090240282314,40.0,0.1688472865907158,0,17,7.259484572258088,0.3951632824471316,0.6911205321500117,True,0.05,65.73,46.011,1.0745503604755993,1.0745503604755993,0.3881190435691852,16,32.591032608695656,32.591032608695656,34.98065217391305,16,32.591032608695656,32.591032608695656,34.98065217391305,16,,,,,,,,,,
AM,26796,I395_SB,110-04126,4,3.0,10003.9372,0.0,22800.0,True,False,False,,0.4387691754385965,0,0.0,10003.9372,0.0,7600.0,0,0.0,0.0,833.6614333333333,154.8186212659616,162.2997135557327,0.9539056962833016,0.0,77.98327215729682,52.77340338147292,608.0,0.2546358902400684,0,18,168.7464025180834,4.795995682074997,8.151625190002383,True,0.76,66.12,46.284,0.4088559209601237,0.4088559209601237,-3.834890223686216e-05,16,40.602554347826086,40.602554347826086,42.185434782608695,16,40.602554347826086,40.602554347826086,42.185434782608695,16,,,,,,,,,,
AM,26799,I395_SB,110N04127,3,3.0,11577.5026,0.0,17100.0,True,False,False,,0.6770469356725146,0,0.0,11577.5026,0.0,5700.0,0,0.0,0.0,1286.3891777777778,34.57322926201641,36.12242851619538,0.9571125387241228,0.0,0.0,7.859102260128338,144.0,0.2400918698751139,0,15,34.57322926201641,1.4756813372737945,2.660322363892967,True,0.24,60.8665,42.60655,1.835638510529776,1.835638510529776,0.2671084487386537,16,24.646261579531934,24.646261579531934,-22.977592717237087,16,33.98829347826087,33.98829347826087,37.04084782608696,16,,,,,,,,,,
AM,26810,I395_SB,110N04127,4,3.0,11850.7967,0.0,22800.0,True,False,False,,0.5197717850877194,0,0.0,11850.7967,0.0,7600.0,0,0.0,0.0,987.5663916666668,48.018374107299,50.17003960582693,0.9571125413606804,0.0,0.0,10.915419592157605,200.0,0.2400918705364949,0,15,48.018374107299,2.04955741288026,3.6948921720735473,True,0.25,60.8665,42.60655,1.8356385397146504,1.8356385397146504,0.2671084693529995,16,21.52614666024201,21.52614666024201,-20.085784096315003,16,33.98829347826087,33.98829347826087,37.04084782608696,16,,,,,,,,,,
AM,26814,I395_SB,110N04127,4,3.0,11850.7967,0.0,22800.0,True,False,False,,0.5197717850877194,0,0.0,11850.7967,0.0,7600.0,0,0.0,0.0,987.5663916666668,23.048819548022266,24.081619010796924,0.9571125403856108,0.0,0.0,5.239401406622619,96.0,0.2400918702918986,0,15,23.048819548022266,0.9837875581825156,1.7735482425952864,True,0.12,60.8665,42.60655,1.835638539301182,1.835638539301182,0.2671084624476911,16,23.287601634863996,23.287601634863996,-22.043373006356703,16,33.98829347826087,33.98829347826087,37.04084782608696,16,,,,,,,,,,
AM,26821,I395_SB,110N04127,3,3.0,8531.1348,0.0,17100.0,True,False,False,,0.4988967719298245,0,0.0,8531.1348,0.0,5700.0,0,0.0,0.0,947.9038666666668,11.524409740287638,12.040809505398462,0.9571125375848444,0.0,0.0,2.6197007835867225,48.0,0.2400918695893258,0,15,11.524409740287638,0.4918937790912528,0.8867741212976342,True,0.08,60.8665,42.60655,1.8356384920778617,1.8356384920778617,0.2671084336342453,16,33.98829347826087,33.98829347826087,37.04084782608696,16,33.98829347826087,33.98829347826087,37.04084782608696,16,,,,,,,,,,
AM,26824,I395_SB,110N04670,3,3.0,6107.9833,0.0,17100.0,True,False,False,,0.3571920058479532,0,0.0,6107.9833,0.0,5700.0,0,0.0,0.0,678.6648111111111,0.0,0.0,,0.0,0.0,0.0,210.0,0.0,0,0,0.0,0.0,,False,0.35,59.273,41.4911,5.84476630434783,,,0,5.84476630434783,,,0,5.84476630434783,,,0,,,,,,,,,,
