clock,corridor,tmc,net_link_id,period,period_hours,miles,lanes,capacity_vphpl,cutoff_mph,bins,bins_below_cutoff,congested,min_speed_mph,P_h,D_veh_per_lane,V_veh_per_lane,D_veh_total,V_veh_total,D_over_C_h,V_over_C_h,qbar_over_C_congested
pipeline,I-395 NB,110P04128,26297,NT,2.0,0.19736,3,2200.0,49.0,8,1,True,46.27333333333333,0.25,547.8028066037397,4389.425024848679,1643.4084198112191,13168.275074546036,0.24900127572897257,1.9951931931130358,0.9960051029158903
pipeline,I-395 NB,110P04129,26825,NT,2.0,0.138799,3,2200.0,49.0,8,8,True,32.50311111111111,2.0,4291.988150032911,4291.988150032911,12875.964450098734,12875.964450098734,1.950903704560414,1.950903704560414,0.975451852280207
pipeline,I-395 NB,110P04130,26469,NT,2.0,0.162246,6,2200.0,49.0,8,8,True,27.56844444444444,2.0,4149.923111150374,4149.923111150374,24899.538666902245,24899.538666902245,1.8863286868865337,1.8863286868865337,0.9431643434432668
pipeline,I-395 NB,110P04670,26230,NT,2.0,0.319695,3,2200.0,49.0,8,0,False,53.443999999999996,0.0,0.0,4337.113564957051,0.0,13011.340694871153,0.0,1.9714152567986594,
pipeline,I-395 NB,110+04121,29007,PM,6.0,0.27347,4,2200.0,49.0,24,22,True,19.91533333333333,5.5,10217.120044826721,11311.320013314304,40868.480179306884,45245.280053257215,4.6441454749212365,5.141509096961047,0.8443900863493158
pipeline,I-395 NB,110+04122,32141,PM,6.0,1.151222,4,2200.0,49.0,24,7,True,43.549555555555564,1.75,3831.5325201820556,12999.155217768359,15326.130080728222,51996.620871073435,1.7416056909918434,5.908706917167436,0.9952032519953391
pipeline,I-395 NB,110+04123,28025,PM,6.0,0.924456,4,2200.0,49.0,24,10,True,37.24977777777777,2.5,5381.696576504919,12690.239811002335,21526.786306019676,50760.95924400934,2.446225716593145,5.76829082318288,0.978490286637258
pipeline,I-395 NB,110+04124,28294,PM,6.0,0.3436,4,2200.0,49.0,24,7,True,35.43533333333334,1.75,3707.549957555565,12764.021139203951,14830.19983022226,51056.084556815804,1.685249980707075,5.80182779054725,0.9629999889754715
pipeline,I-395 NB,110+04126,26423,PM,6.0,0.082891,4,2200.0,49.0,24,0,False,51.065555555555555,0.0,0.0,13035.410647697308,0.0,52141.64259078923,0.0,5.925186658044231,
pipeline,I-395 NB,110+04127,26785,PM,6.0,0.778625,4,2200.0,49.0,24,0,False,58.18844444444445,0.0,0.0,12399.947377277054,0.0,49599.78950910822,0.0,5.636339716944115,
pipeline,I-395 NB,110+04128,26822,PM,6.0,0.02384,2,2200.0,49.0,24,24,True,20.43422222222222,6.0,11538.671742294562,11538.671742294562,23077.343484589124,23077.343484589124,5.244850791952073,5.244850791952073,0.8741417986586789
pipeline,I-395 NB,110+04129,26825,PM,6.0,0.135112,3,2200.0,49.0,24,24,True,10.837999999999994,6.0,9412.152918141735,9412.152918141735,28236.458754425206,28236.458754425206,4.2782513264280615,4.2782513264280615,0.7130418877380102
pipeline,I-395 NB,110+04130,26830,PM,6.0,0.080932,2,2200.0,49.0,24,24,True,8.138888888888888,6.0,7922.1974643394315,7922.1974643394315,15844.394928678863,15844.394928678863,3.6009988474270145,3.6009988474270145,0.600166474571169
pipeline,I-395 NB,110+04670,26812,PM,6.0,0.095046,3,2200.0,49.0,24,0,False,53.99533333333333,0.0,0.0,12895.598277201338,0.0,38686.79483160401,0.0,5.8616355805460625,
pipeline,I-395 NB,110P04120,29361,PM,6.0,1.621245,4,2200.0,49.0,24,21,True,15.266666666666666,5.25,9943.644720556335,11556.162228288484,39774.57888222534,46224.648913153935,4.5198385093437885,5.252801012858401,0.8609216208273883
pipeline,I-395 NB,110P04121,32601,PM,6.0,0.647875,4,2200.0,49.0,24,21,True,34.748,5.25,11270.11903101724,12897.602785516176,45080.47612406896,51590.4111420647,5.12278137773511,5.862546720689171,0.9757678814733541
pipeline,I-395 NB,110P04122,28270,PM,6.0,0.586105,4,2200.0,49.0,24,7,True,41.926,1.75,3813.445745880086,12640.138373275928,15253.782983520345,50560.55349310371,1.7333844299454937,5.745517442398149,0.9905053885402821
pipeline,I-395 NB,110P04123,28285,PM,6.0,0.596275,4,2200.0,49.0,24,10,True,37.65577777777778,2.5,5390.072812845918,12958.525065957314,21560.29125138367,51834.100263829256,2.4500330967481445,5.890238666344233,0.9800132386992577
pipeline,I-395 NB,110P04124,28303,PM,6.0,0.704235,4,2200.0,49.0,24,7,True,38.31755555555556,1.75,3758.352167265397,12815.971675852783,15033.408669061588,51263.88670341113,1.708341894211544,5.825441670842174,0.9761953681208824
pipeline,I-395 NB,110P04126,26778,PM,6.0,0.391606,4,2200.0,49.0,24,0,False,52.98266666666667,0.0,0.0,12995.779447703657,0.0,51983.11779081463,0.0,5.907172476228935,
pipeline,I-395 NB,110P04128,26297,PM,6.0,0.19736,3,2200.0,49.0,24,24,True,14.055777777777777,6.0,10491.80810164709,10491.80810164709,31475.42430494127,31475.42430494127,4.769003682566859,4.769003682566859,0.7948339470944765
pipeline,I-395 NB,110P04129,26825,PM,6.0,0.138799,3,2200.0,49.0,24,24,True,8.612444444444444,6.0,8433.392687967784,8433.392687967784,25300.178063903353,25300.178063903353,3.833360312712629,3.833360312712629,0.6388933854521048
pipeline,I-395 NB,110P04130,26469,PM,6.0,0.162246,6,2200.0,49.0,24,24,True,8.897777777777778,6.0,7801.9341286393255,7801.9341286393255,46811.604771835955,46811.604771835955,3.546333694836057,3.546333694836057,0.5910556158060095
pipeline,I-395 NB,110P04670,26230,PM,6.0,0.319695,3,2200.0,49.0,24,22,True,33.81111111111111,5.5,11728.27170932661,12827.84785011434,35184.815127979826,38483.54355034302,5.331032595148459,5.8308399318701545,0.9692786536633561
pipeline,I-395 SB,110-04120,32610,AM,5.0,0.183298,3,2200.0,49.0,20,0,False,59.03244444444445,0.0,0.0,10134.330042379883,0.0,30402.99012713965,0.0,4.60651365562722,
pipeline,I-395 SB,110-04121,32623,AM,5.0,1.053164,3,2200.0,49.0,20,0,False,63.10422222222221,0.0,0.0,9458.176864761686,0.0,28374.53059428506,0.0,4.299171302164403,
pipeline,I-395 SB,110-04122,28289,AM,5.0,0.922212,4,2200.0,49.0,20,0,False,61.10066666666666,0.0,0.0,9724.050590096553,0.0,38896.20236038621,0.0,4.420022995498433,
pipeline,I-395 SB,110-04123,28307,AM,5.0,0.122184,4,2200.0,49.0,20,0,False,58.029999999999994,0.0,0.0,10340.971827689726,0.0,41363.8873107589,0.0,4.700441739858967,
pipeline,I-395 SB,110-04124,26764,AM,5.0,0.223822,4,2200.0,49.0,20,0,False,56.92022222222223,0.0,0.0,10508.656327886702,0.0,42034.625311546806,0.0,4.776661967221228,
pipeline,I-395 SB,110-04125,26781,AM,5.0,0.075065,4,2200.0,49.0,20,0,False,61.49822222222222,0.0,0.0,9894.321276834995,0.0,39577.28510733998,0.0,4.497418762197725,
pipeline,I-395 SB,110-04126,26796,AM,5.0,0.481819,4,2200.0,49.0,20,0,False,61.68311111111111,0.0,0.0,9748.453545528431,0.0,38993.814182113725,0.0,4.431115247967469,
pipeline,I-395 SB,110-04128,26829,AM,5.0,0.062273,3,2200.0,49.0,20,15,True,45.04311111111111,3.75,8239.162210570857,10988.827829637103,24717.48663171257,32966.48348891131,3.7450737320776626,4.994921740744138,0.9986863285540434
pipeline,I-395 SB,110-04129,26471,AM,5.0,0.013153,3,2200.0,49.0,20,15,True,46.53911111111111,3.75,8237.832430939385,10985.266451972846,24713.497292818152,32955.79935591854,3.7444692867906295,4.99330293271493,0.9985251431441678
pipeline,I-395 SB,110-04670,26827,AM,5.0,0.031164,2,2200.0,49.0,20,0,False,52.47777777777778,0.0,0.0,10908.478776866305,0.0,21816.95755373261,0.0,4.958399444030138,
pipeline,I-395 SB,110N04120,32603,AM,5.0,1.301767,3,2200.0,49.0,20,0,False,61.55044444444445,0.0,0.0,9721.654161259248,0.0,29164.962483777745,0.0,4.418933709663294,
pipeline,I-395 SB,110N04121,32611,AM,5.0,0.508993,4,2200.0,49.0,20,0,False,60.85666666666666,0.0,0.0,9808.543868289291,0.0,39234.175473157164,0.0,4.458429031040587,
pipeline,I-395 SB,110N04122,28283,AM,5.0,0.771707,4,2200.0,49.0,20,0,False,62.54244444444444,0.0,0.0,9708.384101667814,0.0,38833.53640667126,0.0,4.412901864394461,
pipeline,I-395 SB,110N04123,28302,AM,5.0,0.76605,4,2200.0,49.0,20,0,False,61.52622222222222,0.0,0.0,9837.07078924882,0.0,39348.28315699528,0.0,4.471395813294919,
pipeline,I-395 SB,110N04124,26759,AM,5.0,0.59288,4,2200.0,49.0,20,0,False,58.15133333333333,0.0,0.0,10376.90695009272,0.0,41507.62780037088,0.0,4.716775886405782,
pipeline,I-395 SB,110N04125,26776,AM,5.0,0.539375,4,2200.0,49.0,20,0,False,59.61711111111111,0.0,0.0,10179.894136394285,0.0,40719.57654557714,0.0,4.627224607451947,
pipeline,I-395 SB,110N04126,26792,AM,5.0,0.626954,4,2200.0,49.0,20,0,False,62.01844444444445,0.0,0.0,9822.866201277951,0.0,39291.464805111806,0.0,4.4649391823990685,
